"OTU" "Feature_name" "17nine_179_Lych_384_193_S1_L001" "17nine_180_Reso_372_205_S2_L001" "17nine_185_Barg_348_229_S4_L001" "17nine_186_Reso_336_241_S5_L001" "17nine_188_Barg_324_253_S6_L001" "17nine_189_Barg_312_265_S7_L001" "17nine_191_Marr_383_194_S9_L001" "17nine_193_Reso_371_206_S10_L001" "17nine_200_Fril_359_218_S11_L001" "17nine_201_Apol_347_230_S12_L001" "17nine_202_Apol_335_242_S13_L001" "17nine_204_Keph_311_266_S15_L001" "17nine_205_Keph_299_278_S16_L001" "17nine_206_Nano_382_195_S17_L001" "17nine_207_Unde_370_207_S18_L001" "17nine_208_Lily_358_219_S19_L001" "17nine_209_Phys_346_231_S20_L001" "17nine_210_Lych_334_243_S21_L001" "17nine_211_Apol_322_255_S22_L001" "17nine_212_Fril_310_267_S23_L001" "17nine_213_Fors_298_279_S24_L001" "17nine_214_Lych_381_196_S25_L001" "17nine_215_Agal_369_208_S26_L001" "17nine_216_Diph_357_220_S27_L001" "17nine_217_Diph_345_232_S28_L001" "17nine_218_Diph_333_244_S29_L001" "17nine_219_Diph_321_256_S30_L001" "17nine_220_Cord_309_268_S31_L001" "17nine_221_Diph_297_280_S32_L001" "17nine_222_Gymn_380_197_S33_L001" "17nine_223_Cras_368_209_S34_L001" "17nine_224_Barg_356_221_S35_L001" "17nine_225_Nano_344_233_S36_L001" "17nine_226_Desm_332_245_S37_L001" "17nine_229_Chun_320_257_S38_L001" "17nine_230_Lych_308_269_S39_L001" "17nine_231_Fors_296_281_S40_L001" "17nine_232_Barg_379_198_S41_L001" "17nine_237_Chun_367_210_S42_L001" "17nine_238_Gymn_355_222_S43_L001" "17nine_239_Barg_343_234_S44_L001" "17nine_240_Chun_331_246_S45_L001"
"Eukaryota_Cnidaria_Hydrozoa__100_162_91.76_NA_NA" "b3567393166ae3c1ba89fe4d119ac201" "5435" "28209" "5599" "7670" "13604" "8437" "16860" "0" "7414" "9612" "6485" "11488" "15355" "12833" "9850" "18374" "13048" "193" "15976" "7794" "7546" "6063" "15598" "28631" "16640" "22046" "21963" "61050" "29528" "18405" "9750" "3555" "0" "4900" "13728" "9425" "12619" "6726" "12727" "22383" "15708" "15407"
"Eukaryota_Cnidaria_Hydrozoa__100_162_91.76_NA_NA" "4c68d6a90252c210ee00a4a40a8205bf" "5179" "21224" "5507" "6069" "13700" "8127" "16013" "0" "4868" "9198" "5959" "12041" "14839" "11370" "10114" "19084" "12375" "224" "15540" "7131" "7142" "4392" "14352" "24884" "15224" "23238" "20582" "58744" "28184" "17877" "8880" "3381" "0" "4646" "11418" "5836" "11807" "6031" "11181" "19479" "13092" "11285"
"Eukaryota_Arthropoda_Crustacea_Multicrustacea_Malacostraca__100_184.00_ 91.93" "20d16492cb55569fcf065a2677a73021" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "22" "0" "0" "0" "0" "0" "6420" "4470" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Arthropoda_Crustacea_Multicrustacea_Malacostraca__100_184.00_ 91.93" "d6c37c0812fb6f47eab3ba7d588c0b02" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "132" "0" "0" "0" "0" "0" "0" "17" "0" "0" "0" "0" "0" "6186" "4416" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__97.53_162.00_ 72.37" "62b00c7b34758af6e9515dcdef68d0de" "0" "4071" "0" "760" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__99.38_162.00_ 73.15" "24cd6d31e59f9c61f628f2c6c74e8038" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "27" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "2297" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa__100_88_90.98_NA_NA" "67e443802a8db1da9c68671d053ed069" "13" "0" "0" "13" "120" "0" "16" "0" "0" "7" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "159" "0" "0" "0" "0" "0" "0" "0" "0" "0" "14" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa__100_88_90.98_NA_NA" "3f74c505e1ca3ae6765bfaca1d798208" "0" "0" "0" "10" "121" "0" "0" "0" "0" "5" "0" "0" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "8" "154" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Arthropoda_Crustacea_Multicrustacea_Hexanauplia_Paracalanus_Paracalanus parvus_NA_100.00" "8548f3149a5d0dced556dbc46ef46f28" "0" "0" "0" "132" "0" "134" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Chrysophyceae_Chrysophyceae_Chromulinales_Chromulinaceae_Ochromonas_Ochromonas sp_NA_ 95.78" "6ac6214d476d565eb6980d803a05fe81" "0" "0" "0" "45" "108" "51" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
