"OTU" "Feature_name" "166_227Halis_379_198_S1_L001" "166_228Nanom_367_210_S2_L001" "166_233bChun_355_222_S3_L001" "166_234bEren_343_234_S4_L001" "166_235bApol_331_246_S5_L001" "166_236Apole_319_258_S6_L001" "166_241Lensi_307_270_S7_L001" "166_242Forsk_295_282_S8_L001" "166_243Apole_378_199_S9_L001" "166_244Steph_366_211_S10_L001" "166_245Diphy_354_223_S11_L001" "166_246Diphy_342_235_S12_L001" "166_247Diphy_330_247_S13_L001" "166_248Diphy_318_259_S14_L001" "166_249Diphy_306_271_S15_L001" "166_250Vogti_294_283_S16_L001" "166_251Diphy_377_200_S17_L001" "166_252Agalm_365_212_S18_L001" "166_253Agalm_353_224_S19_L001" "166_254Chuni_341_236_S20_L001" "166_255Apole_329_248_S21_L001" "166_256Apole_317_260_S22_L001" "166_257Apole_305_272_S23_L001" "166_258Praya_293_284_S24_L001" "166_259Steph_376_201_S25_L001" "166_260Apole_364_213_S26_L001" "166_261Sphae_352_225_S27_L001" "166_262Forsk_340_237_S28_L001" "166_263Apole_328_249_S29_L001"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__99.39_165.00_ 91.48_NA" "f3f31ab01528f5fc9bf11068ce225b8b" "30222" "34417" "37284" "33034" "34607" "0" "29076" "41195" "0" "40198" "31543" "34933" "36195" "23729" "31027" "39376" "47815" "37930" "31232" "31816" "40938" "34074" "38033" "44052" "40622" "32068" "43580" "0" "42715"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__99.39_165.00_ 91.48_NA" "8d3227a0569a7eda1d19087f107d94a2" "0" "30695" "32704" "28779" "28844" "0" "22944" "34370" "0" "35786" "26706" "29818" "29982" "20924" "25261" "37588" "42000" "32150" "25778" "31210" "35905" "31192" "0" "37673" "36190" "27983" "40198" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__99.31_144.00_ 91.23_NA" "4e0256fd4c3f593064ecac448fd98572" "25352" "0" "0" "0" "0" "36103" "0" "0" "38663" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "29818" "0" "0" "0" "0" "40433" "32898"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_149.00_ 91.63_NA" "43f2a1a64f97cbc2fb1e5b55da8fb247" "0" "0" "0" "0" "0" "40526" "0" "0" "41293" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "45057" "0"
"Eukaryota__95.52_67_88.45___NA_NA_NA" "183ba7f71d304d7615fcce25ee877741" "0" "0" "0" "0" "2773" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__95.52_67_88.45___NA_NA_NA" "ad05ef6b2aa8a0b928f16ff331a25c0d" "0" "0" "0" "0" "2372" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cercozoa_Thaumatomonadida__98.72_78_72.19_NA_NA_NA" "1e19c1a9d2dfe3e91701e65646c46dff" "0" "0" "0" "0" "2108" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cercozoa_Thaumatomonadida__98.72_78_72.19_NA_NA_NA" "495b42bd7b457b11c79b021ea4cd055e" "0" "0" "0" "0" "1681" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cercozoa__89.8_49_86.78__NA_NA_NA" "107d1fefaa1255b76b04f5363c9e8e1e" "0" "0" "0" "0" "975" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cercozoa__92.75_69_88.17__NA_NA_NA" "321c843fcb889d449edeffaf8b0c2304" "0" "0" "0" "0" "933" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
