"OTU" "Feature_name" "272_264_Nano_093_100_S1_L001" "272_265_Nano_081_112_S2_L001" "272_266_Nano_069_124_S3_L001" "272_267_Nano_057_136_S4_L001" "272_268_Nano_045_148_S5_L001" "272_269_Nano_033_160_S6_L001" "272_270_Nano_021_172_S7_L001" "272_271_Nano_009_184_S8_L001" "272_272_Nano_092_101_S9_L001" "272_273_Nano_080_113_S10_L001" "272_274_Nano_068_125_S11_L001" "272_275_Nano_056_137_S12_L001" "272_276_Sulc_044_149_S13_L001"
"Eukaryota_Cnidaria_Hydrozoa__99.2_251_92.21_NA_NA_NA_NA" "4818a01f3652ff47ff17be7ee8154912" "22558" "36880" "35980" "35071" "42951" "48795" "34046" "1070" "33117" "1101" "13132" "39198" "114455"
"Eukaryota_Cnidaria_Hydrozoa__99.2_251_92.21_NA_NA_NA_NA" "ee1e34c4a28fb799f5680990bc64a841" "15823" "43144" "34816" "26396" "40631" "39857" "28307" "31424" "29247" "27272" "10926" "34911" "76312"
"Eukaryota_Arthropoda_Crustacea_Multicrustacea_Hexanauplia_Centropages_Centropages typicus_NA_99.21_253_73.79" "08cc1a9e6695de6562ccbbcca9786901" "0" "0" "0" "0" "618" "501" "1377" "18906" "0" "1799" "0" "0" "183"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__98.24_198.00_72.76_NA_NA" "a8026d86b3de6b6fdfa0752cb11553c1" "9" "18" "25" "0" "0" "65" "37" "0" "0" "96" "17" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__98.59_212.00_73.05_NA_NA" "098d8f1a1e4e99caa93f75adac9adf71" "0" "0" "23" "7" "0" "0" "5" "130" "46" "0" "28" "0" "0"
"Eukaryota_Chrysophyceae_Chrysophyceae_Chromulinales__96.03_252_ 72.08_NA_NA_NA" "47f5fee37f25cf54c2dddf2e38c3d3b4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "125" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Leptothecata__100_ 66.00_72.58_NA_NA" "d9014747840d54f5386d13b8439fa3ef" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "98"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__98.73_221.00_72.99_NA_NA" "4120e2729a9fd2a2dd36e4f906a15f23" "0" "0" "35" "0" "0" "0" "0" "0" "33" "26" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__98.58_141.00_72.65_NA_NA" "1b8bf44fb827607eaf1b5aab8d4e7ab3" "0" "0" "0" "0" "92" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__98.89_196.00_72.91_NA_NA" "41b762378c402602eed371162a4218cd" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "90" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_142.00_73.24_NA_NA" "dbe9076579c9e69bba93cc2f3ee1b756" "0" "11" "0" "46" "0" "0" "0" "23" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__98.87_195.00_72.90_NA_NA" "e9e8e88490fab0ec6fbf8b46089d75db" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "64" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Leptothecata__100_ 66.00_72.58_NA_NA" "bede313b137bc6dc69f3182b2b0c4444" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "63"
"Eukaryota_Cnidaria_Hydrozoa__99.02_177_91.41_NA_NA_NA_NA" "84332357578121b744a1563c15dafc63" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "56" "0"
"Eukaryota_Cnidaria_Hydrozoa__98.84_173_91.27_NA_NA_NA_NA" "69306ab6bbaba03f3dcdcdd014436462" "0" "0" "0" "0" "0" "0" "0" "0" "47" "0" "8" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa__99.02_177_91.41_NA_NA_NA_NA" "9a58c3bcd48af081655026ae4d5afbdf" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "49" "0"
"Eukaryota_Cnidaria_Hydrozoa__100_195_92.10_NA_NA_NA_NA" "fda891f26a6e1d832b5a5f15f748a2d4" "0" "0" "0" "45" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__98.58_141.00_72.65_NA_NA" "88dbbe4886b492a5d738d0b1abf190cf" "0" "0" "0" "0" "45" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Platyhelminthes_Trematoda_Digenea_Plagiorchiida__98.82_254.00_91.99_NA_NA" "59849360a105961529b8dd850aa49a87" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "45" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa__98.84_172_91.26_NA_NA_NA_NA" "4053d276806e8b0daa2084874f1aeaec" "0" "0" "0" "0" "0" "0" "0" "0" "43" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__98.09_202.00_72.75_NA_NA" "55f4871ba691cd9d1399bd5a827c1c0e" "0" "0" "0" "0" "0" "0" "0" "0" "0" "42" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_139.00_73.22_NA_NA" "059462c7adc6070efd977f1b2dfb54b2" "0" "0" "0" "0" "0" "24" "0" "0" "0" "0" "18" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa__91.24_251_87.19_NA_NA_NA_NA" "f9eedaeea9ced94a9c2ebd620bddfd19" "0" "0" "0" "0" "0" "12" "0" "27" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina__96.97_66_ 89.22_NA_NA_NA" "e686ae37c626710a45e82f6727e9e9df" "0" "0" "0" "36" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__98.66_216.00_73.08_NA_NA" "983880c7f0f66e127124f2a26b452bec" "0" "32" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__96.23_185.00_72.20_NA_NA" "7fea8f9f43fb13aaa4fef33b901b5e10" "0" "0" "0" "32" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina__96.97_66_ 89.22_NA_NA_NA" "12e7be9347b58a3ac11cb2388d4d9d50" "0" "0" "0" "29" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_ 27.00_72.24_NA_NA" "6ca6332439e5d8950743424ef0dd057e" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "26" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__98.24_173.00_72.57_NA_NA" "257643010514bd2e28830b10ac756885" "0" "25" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa__99.17_215_91.80_NA_NA_NA_NA" "228217fd34dc4d02297936018022e6f5" "0" "0" "0" "0" "15" "0" "0" "0" "0" "7" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_ 27.00_72.24_NA_NA" "9f9ec99470cd84cfd66b66e58f8e1fbe" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "21" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa__99.1_137_91.05_NA_NA_NA_NA" "93fc0b6e547bed831b4d12f077e7a7da" "0" "0" "0" "19" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__97.32_197.00_72.71_NA_NA" "84bfd3fe4ce7c2ff82560612c94ac7b9" "0" "0" "0" "0" "0" "0" "0" "0" "0" "18" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__98.21_172.00_72.54_NA_NA" "1d4ced20cc27ccc4839f5f2f7fe7fbd0" "0" "18" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa__99.1_137_91.05_NA_NA_NA_NA" "071bd5fcae7086997720fd81a5d86e2f" "0" "0" "0" "18" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__99.07_249.00_73.44_NA_NA" "5d7a717a883dd788b1ebe8d82bca813c" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "17" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__97.43_180.00_72.65_NA_NA" "65104a1a74a3972ec2101f704c5975b1" "0" "0" "0" "0" "0" "0" "0" "0" "12" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__98.30_203.00_72.83_NA_NA" "4e1268b3395b83d9fea36303db95046d" "0" "0" "0" "12" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa__91.88_271_87.78_NA_NA_NA_NA" "ac006f62fba4f4a7dbaa6d51d9906b6e" "0" "0" "0" "0" "0" "0" "0" "11" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__97.43_180.00_72.65_NA_NA" "2e1bbd183b1d75e798c7900fe14ff22b" "11" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_141.00_73.23_NA_NA" "85ebca1885ac26c6589ec9e709cd0394" "0" "0" "0" "0" "0" "10" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa__91.24_251_87.30_NA_NA_NA_NA" "23efef502f5702b5108c64125f16ae81" "0" "0" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa__99.45_229_92.14_NA_NA_NA_NA" "40bfc4f48fa7be29b77f8a6194584dfb" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "3" "0" "0"
