"OTU" "Feature_name" "179_300Apole_091_102_S1_L001" "179_304Crase_079_114_S2_L001" "179_305Crase_067_126_S3_L001" "179_309Forsk_055_138_S4_L001" "179_310Gymno_043_150_S5_L001" "179_311Lychn_031_162_S6_L001" "179_313Marru_019_174_S7_L001" "179_314Praya_007_186_S8_L001" "179_315Resom_090_103_S9_L001" "179_316Resom_078_115_S10_L001" "179_317Vogti_066_127_S11_L001" "179_319Frill_054_139_S12_L001" "179_320Forsk_042_151_S13_L001"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_162.00_ 73.41_NA_NA" "7222eeff1484b5651c79d233007da9ba" "43484" "55694" "30578" "24203" "39809" "1246" "46121" "53207" "33066" "10811" "26497" "50808" "8311"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_162.00_ 73.41_NA_NA" "78b64b0b9435bace602936a22c43299b" "45870" "55843" "30900" "21856" "40078" "1174" "46888" "50158" "29538" "10089" "26583" "50647" "8462"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__100.00_184.00_ 73.25_NA" "4d8c9bc681a16c0ca1839856e4fd5c88" "0" "0" "0" "0" "0" "35127" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__100.00_184.00_ 73.25_NA" "d6c37c0812fb6f47eab3ba7d588c0b02" "0" "0" "0" "0" "0" "33954" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa__96.84_158_71.96_NA_NA_NA_NA" "4220ed24a37cfc74bfd690315e4927dd" "0" "0" "0" "0" "0" "0" "0" "0" "2203" "0" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Lophotrochozoa_Platyhelminthes_Trematoda__ 94.42_233.00_ 87.92_NA" "99d7032c118353cd93faf57112bbd474" "0" "0" "0" "0" "0" "0" "0" "485" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa__96.3_162_71.82_NA_NA_NA_NA" "7070f31960c9dcfacd7df65fb456cb95" "0" "0" "0" "0" "0" "0" "0" "0" "358" "0" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Lophotrochozoa_Platyhelminthes_Trematoda__ 93.93_214.00_ 87.26_NA" "4ff9e8c31045e982cf4108052d363716" "0" "0" "0" "0" "0" "0" "0" "289" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Arthropoda_Hexanauplia_Calanoida_Gaussia_Gaussia princeps_NA_100.00_164.00_73.42" "cdadbbe4afa01e7e492fbb77ac89fe72" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "231"
"Eukaryota_Bilateria_Arthropoda_Hexanauplia_Calanoida_Gaussia_Gaussia princeps_NA_100.00_164.00_73.42" "9e0ca45ee71fe0109636c796c11a69a2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "230"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__ 87.50_184.00_ 83.69_NA" "300328c72c8e65ca910af7e9cf911e95" "0" "0" "0" "0" "0" "182" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Ciliophora_Intramacronucleata_Conthreep_Phyllopharyngea__93.29_164.00_ 70.01_NA_NA" "a7a1ed22a6b8e20be5ef22de1d5dc812" "0" "0" "62" "0" "0" "30" "0" "0" "0" "0" "0" "0" "35"
"Eukaryota_Ciliophora_Intramacronucleata_Conthreep_Phyllopharyngea__93.29_164.00_ 70.01_NA_NA" "cb673b7ba30138cd9845e3390498e748" "0" "0" "68" "0" "0" "26" "0" "0" "0" "0" "0" "0" "25"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_ 88.00_ 72.78_NA_NA" "464e6e1c0cf413517be5e00aba9dd509" "0" "0" "9" "0" "30" "0" "0" "0" "5" "0" "0" "69" "0"
"Eukaryota_Cnidaria_Hydrozoa__95.06_162_71.17_NA_NA_NA_NA" "847281ecc53dd1b33a9af6e4b97bde77" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "78"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I_uncultured eukaryote_uncultured eukaryote_NA_ 95.18_166.00_89.16" "7719bf6bbb12ca2760f06d1a99d357ee" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "69"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I_uncultured eukaryote_uncultured eukaryote_NA_ 99.39_163.00_73.10" "6ee573a54bf3937493d11e21691df5e0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "29" "39"
"Eukaryota_Bilateria__98.61_130_90.72__NA_NA_NA_NA" "61c7f5e47d994babcb01d992296184d9" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "67"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I_uncultured eukaryote_uncultured eukaryote_NA_ 99.39_163.00_73.10" "0916e9ceb6216bf8b89861242213d05f" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "21" "42"
"Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_uncultured__ 99.39_165.00_ 90.70_NA" "f90e65eafb13177a41744794eb6040a0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "41" "0" "19"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I_uncultured marine eukaryote_uncultured marine eukaryote_NA_ 99.38_161.00_91.43" "61b86420e2775f6eecbbf435fdd69685" "0" "0" "0" "0" "0" "31" "0" "0" "0" "0" "0" "0" "25"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I_uncultured eukaryote_uncultured eukaryote_NA_ 96.30_162.00_89.77" "0903fcff55dc62c65a13b067abaf3188" "11" "0" "0" "0" "0" "0" "0" "0" "0" "0" "42" "0" "0"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I_uncultured marine eukaryote_uncultured marine eukaryote_NA_ 99.38_161.00_91.43" "9baa2eee78c35f04647a91d108949a2d" "0" "0" "0" "0" "0" "18" "0" "0" "0" "0" "0" "0" "33"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I_uncultured marine eukaryote_uncultured marine eukaryote_NA_100.00_167.00_73.45" "f62fa2e38bdba23a0dec7b168c36d06a" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15" "35"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I_uncultured eukaryote_uncultured eukaryote_NA_ 95.18_166.00_89.16" "8710ae60f7f281b2a9b64ea7c39dc748" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "46"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_ 88.00_ 72.78_NA_NA" "4ea9bdbe8905b37dceb629c8365a42af" "0" "0" "0" "0" "0" "0" "0" "0" "3" "3" "0" "40" "0"
