0a98baae1b0aa9d367e1c7b0b4ebc4e9,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	Siphonophorae	Physonectae,100	162	73.34
1107f2005760c824ba3685e6c103430f,Eukaryota,90.68	161	86.05
119c704a52adbb4da892b555de54e5d2,Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Malacostraca	Eumalacostraca	Eucarida	Decapoda	Pleocyemata	Caridea	Alpheoidea	Alpheidae,99.44	178	72.19
12bcd12994d0e1ff8872cdb650b4f4c4,Eukaryota	Alveolata	Ciliophora,90.68	161	84.83
13dfe7e98a65695fd5f10b96b9556277,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	Siphonophorae,100	162	91.63
18381a4cf02a15552971e5e128d85a83,Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Malacostraca	Eumalacostraca	Eucarida	Decapoda	Pleocyemata	Caridea	Alpheoidea	Alpheidae,99.44	178	89.03
1c216718b170e5920478d861bddb0e12,Eukaryota	Stramenopiles	Bacillariophyta	Bacillariophyceae	Bacillariophycidae	Cymbellales	Gomphonemataceae,100	167	72.69
1cee9a0ddd49e45e6398a3433bac54f9,Eukaryota	Stramenopiles	Bacillariophyta	Coscinodiscophyceae	Thalassiosirophycidae	Thalassiosirales	Thalassiosiraceae,99.4	168	73.21
1d04b9fc63623c17778fe7561030f1d8,Eukaryota,93.33	165	87.25
2224d982ae1b16a8c53ffaf81e67df5f,Eukaryota,93.49	169	87.48
235cf9452f87d9961269cf36e91f9874,Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Spirotrichea	Oligotrichia	Strombidiidae,97.56	164	90.16
24a885880bdb47bd785b6f59e876f897,Eukaryota,94.44	54	85.51
27f7bb862bbd63ec7244731335ad66ab,Eukaryota	Fungi,96.39	166	88.19
2c759cfb7b5a5cd5b6caf6467d24b9bc,Eukaryota	Alveolata,86.34	161	85.91
2ccbb2950e313715df94a99ad5de4996,Eukaryota	Rhizaria	Cercozoa,96.49	171	89.28
2e46dfa9f82e147883bd5be37c4663e0,Eukaryota	Stramenopiles	Bacillariophyta	Bacillariophyceae	Bacillariophycidae	Cymbellales	Gomphonemataceae,100	167	72.69
2f80938fc18e7677d4220e2dc75440b4,Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Oligohymenophorea	Peritrichia	Vorticellidae	Vorticella,98.01	151	72.19
340794f4b75fcab9844d51a126e4c37a,Eukaryota,88.41	164	85.09
37b97213bfab863d89f50ce38c5db551,Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Oligohymenophorea	Scuticociliatia	Philasterida,97.55	163	90.14
3df8945d7f3f35b7f5462f0633154b94,Eukaryota	Metazoa	Platyhelminthes	Trematoda	Digenea,94.1	161	87.12
476af2fb2553f1a887a5545932a5e5e2,Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Malacostraca	Eumalacostraca	Eucarida	Decapoda	Pleocyemata	Caridea	Alpheoidea	Alpheidae,99.44	178	72.19
4f5693df62f1a0ff53b650a5ea7bde63,Eukaryota	Alveolata	Ciliophora	Intramacronucleata,92.64	163	85.57
5157c75cef2224a92f2467ba532be0c0,Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Spirotrichea	Hypotrichia	Euplotida,92.59	162	87.02
55a721185f4ef33cde8429f9955a6c60,Eukaryota	Fungi,96.80	120	71.42
57d980d7f3446d45caee57d3d0275770,Eukaryota	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Debaryomycetaceae,99.39	165	91.48
5909efe9927b0e34a73bc38c4a9868c2,Eukaryota	Stramenopiles	Bacillariophyta	Coscinodiscophyceae	Thalassiosirophycidae	Thalassiosirales	Thalassiosiraceae,99.4	168	73.21
5ce6a8300d541b6edcf4a92bbc710b29,Eukaryota,93.33	165	87.25
61b8bb476bc1e9e2fca447d53d1c944b,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	Siphonophorae	Cystonectae	Physaliidae	Physalia	Physalia utriculus,90.74	162	86.32
6213484249f6fbe29588da469c41e73d,Eukaryota	Centroheliozoa,94.51	164	87.95
631026b9daddc279ccab63c94d96ac66,Eukaryota	Apusozoa	Apusomonadidae,96.43	168	89.58
6430fa62dc24231c8c986472230ae421,Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Oligohymenophorea	Scuticociliatia	Philasterida,97.55	163	90.14
65442d527c7d6a057b607eae109388af,Eukaryota	Rhizaria	Cercozoa,89.22	167	88.94
66683a7ef79c4c516d4c2b25ab0d6484,Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes,100	163	91.77
676907062db621ffb5640600157d438e,Eukaryota,95.81	167	87.04
6bbd7688700f9cc1f6ed7d065496dc4e,Eukaryota	Fungi	Chytridiomycota	Chytridiomycetes,96.95	164	88.88
6c28f4e77bdc469913d0d3236af420a8,Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Oligohymenophorea	Peritrichia	Vorticellidae	Vorticella,98.01	151	72.19
6d3335381ab172cded288c12e70faf8a,Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Malacostraca	Eumalacostraca	Eucarida	Decapoda	Pleocyemata	Caridea	Palaemonoidea,99.44	178	91.64
71d2e25a87f0f32c42dadb5c41e4d0c2,Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Oligohymenophorea	Peritrichia,100	151	90.87
7273045b44fbab165ba9ef4b49cbef2b,Eukaryota	Stramenopiles	Oomycetes	Lagenidiales	Haliphthoraceae,94.64	168	70.28
75975294de2fa8f89deb491649183cd7,Eukaryota	Fungi	Chytridiomycota	Chytridiomycetes,98.18	165	71.65
75ec32bac758d2377f434dc92a7fd307,Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Malacostraca	Eumalacostraca	Eucarida	Decapoda	Pleocyemata	Brachyura	Eubrachyura,100	176	91.56
76e9ed81f7cf42744f6326f11f111173,Eukaryota,97.06	77	90.26
7ba65a9d4ea31c542a1d4b98eafcd633,Eukaryota	Stramenopiles	Synurophyceae	Synurales	Mallomonadaceae	Synura,97.59	166	72.42
7bcfceaab6f99f7f51e55c5816f7d428,Eukaryota	Alveolata	Ciliophora	Intramacronucleata,97.55	163	87.75
83c5676ca29c93027c62c76a0368637c,Eukaryota	Fungi	Chytridiomycota	Chytridiomycetes,93.29	164	88.01
86a7fee563e39636fe4cf322ce376387,Eukaryota	Stramenopiles	Bicosoecida,91.46	164	86.04
91fa9f316fe78c8cc602556158fb14ca,Eukaryota	Fungi	Chytridiomycota	Chytridiomycetes,97.56	164	90.30
921d2ec38fd81004531c04e58db7bcc8,Eukaryota,95.81	167	87.04
93fc6ed8f361dfcf32215a80584666f5,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	Siphonophorae,98.86	88	90.30
94414b08b25bdb26d0fdc1104166a889,Eukaryota	Alveolata,91.98	162	85.74
9716d96dcf1c04f4352903fed629a366,Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Spirotrichea	Choreotrichia	Tintinnida,95.68	162	71.09
991f40ebbd2b518cc44735ab22118dfe,Eukaryota	Alveolata,91.25	160	86.02
9af3311c2e8b173e54a0d011f6b25d20,Eukaryota	Rhizaria	Cercozoa,100	169	91.40
9b058f8cf0c39e4b43753d5abd5ad2db,Eukaryota	Fungi	Chytridiomycota	Chytridiomycetes,95.73	164	71.00
9ce769d92ea2040975c11df72ae98293,Eukaryota	Rhizaria	Cercozoa,91.95	174	85.70
9e0ca45ee71fe0109636c796c11a69a2,Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Maxillopoda	Copepoda	Calanoida	Metridinidae,100	164	91.78
9ec59a06a323aaa7f1fd9b6aad596ac6,Eukaryota	Alveolata	Dinophyceae,99.38	162	91.44
a2d324bc4acfebd82b339cd33ac1c648,Eukaryota,92.22	167	85.80
a2d8252d016ea484bdf143d4c72cad90,Eukaryota	Rhizaria	Cercozoa,89.16	166	86.59
a5bb9eb40c1d5f9f683bd413ccceecf1,Eukaryota	Fungi	Chytridiomycota	Chytridiomycetes,95.73	164	71.00
a62b6926cb7481875dd1ab943cbb48c0,Eukaryota	Viridiplantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas,97.58	165	72.41
a85492d704d6458334c1283e8f5ef942,Eukaryota	Rhizaria	Cercozoa,93.49	169	70.21
aa881919584650559ae717adeb74e47b,Eukaryota	Metazoa	Chordata	Craniata	Vertebrata	Euteleostomi	Actinopterygii	Neopterygii	Teleostei,98.71	155	90.33
aacc0217400b4d75dfbbd59d4ff0ca30,Eukaryota	Stramenopiles	Bacillariophyta	Fragilariophyceae	Fragilariophycidae,100	168	73.27
