"OTU" "Feature_name" "166_108_Diphyes_384_193_S1_L001" "166_109_Apolemia_372_205_S2_L001" "166_110_Vogtia_360_217_S3_L001" "166_111_Forskalia_348_229_S4_L001" "166_112_Forskalia_336_241_S5_L001" "166_113_Chuniphyes_324_253_S6_L001" "166_114_Nanomia_312_265_S7_L001" "166_115_Nanomia_300_277_S8_L001" "166_116_Nanomia_383_194_S9_L001" "166_117_Sphaeronectes_371_206_S10_L001" "166_118_Muggiaea_359_218_S11_L001" "166_119_Muggiaea_347_230_S12_L001" "166_120_Muggiaea_335_242_S13_L001" "166_121_Muggiaea_323_254_S14_L001" "166_122_Nanomia_311_266_S15_L001" "166_123_Diphyes_299_278_S16_L001" "166_124_Nanomia_382_195_S17_L001" "166_125_Nanomia_370_207_S18_L001" "166_126_Nanomia_358_219_S19_L001" "166_127_Sphaeronectes_346_231_S20_L001" "166_128_Sphaeronectes_334_243_S21_L001" "166_129_Sphaeronectes_322_255_S22_L001" "166_130_Sphaeronectes_310_267_S23_L001" "166_131_Sphaeronectes_298_279_S24_L001" "166_132_Sphaeronectes_381_196_S25_L001" "166_133_Nanomia_369_208_S26_L001" "166_134_Sphaeronectes_357_220_S27_L001" "166_135_Sphaeronectes_345_232_S28_L001" "166_136_Sphaeronectes_333_244_S29_L001" "166_137_Diphyes_321_256_S30_L001" "166_138_Diphyes_309_268_S31_L001" "166_139_Nanomia_297_280_S32_L001" "166_140_Nanomia_380_197_S33_L001" "166_141_Nanomia_368_209_S34_L001" "166_142_Muggiaea_356_221_S35_L001" "166_143_Nanomia_344_233_S36_L001" "166_159_Physalia_332_245_S37_L001" "166_160_Physalia_320_257_S38_L001" "166_162_Physalia_308_269_S39_L001" "166_165_Physalia_296_281_S40_L001" "166_166_Physalia_379_198_S41_L001" "166_167_Physalia_367_210_S42_L001" "166_169_Physalia_355_222_S43_L001" "166_170_Physalia_343_234_S44_L001" "166_171_Physalia_331_246_S45_L001"
"Eukaryota_Ctenophora_Tentaculata_uncultured eukaryote___uncultured eukaryote_NA_ 99.31_145.00_72.99" "8b667c194a54a00e4deeb5e9b2461da4" "16070" "0" "12542" "21892" "24134" "16834" "465" "9179" "25159" "0" "20333" "25131" "14183" "0" "0" "25763" "0" "0" "23005" "22112" "55043" "23290" "23728" "22022" "14563" "0" "32706" "20247" "28187" "19001" "20116" "0" "0" "0" "23314" "25340" "0" "22715" "0" "22905" "0" "0" "0" "0" "24690"
"Eukaryota_Ctenophora_Tentaculata_uncultured eukaryote___uncultured eukaryote_NA_ 99.39_165.00_73.18" "53a6a452d34cbbd02a688c3e15959ad5" "18702" "0" "13109" "23985" "28157" "27" "451" "0" "26287" "0" "23750" "28085" "18865" "0" "0" "29378" "0" "0" "25372" "25252" "65334" "24038" "27623" "25414" "19115" "0" "34866" "21567" "27147" "21919" "22798" "0" "0" "0" "25564" "0" "0" "26776" "0" "0" "0" "0" "0" "0" "27481"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina__100_149_ 91.63_NA_NA_NA" "aa3b89dfa2e900e8b37f20605b1eb273" "0" "21706" "0" "0" "0" "20258" "22616" "14135" "0" "24702" "0" "0" "0" "14908" "21189" "0" "24072" "24588" "0" "0" "0" "0" "0" "0" "0" "20979" "0" "0" "0" "0" "0" "16178" "16413" "16840" "265" "22747" "18833" "0" "23934" "25045" "18684" "17313" "26323" "381" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina__99.31_145_ 91.24_NA_NA_NA" "1308af908156fa883da6d44764b680ba" "0" "17127" "0" "0" "0" "0" "20777" "0" "0" "21747" "0" "0" "0" "12089" "18294" "0" "19694" "22197" "0" "0" "0" "0" "0" "0" "0" "18694" "0" "0" "0" "0" "0" "14755" "13194" "13519" "275" "0" "16828" "0" "20800" "0" "15148" "15256" "22203" "310" "0"
"Eukaryota_SAR_Ochrophyta__100_144_73.24_NA_NA_NA_NA" "b6f657f69dd840b370462c5f141fd842" "0" "0" "1664" "0" "0" "0" "0" "0" "0" "0" "20" "24" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1113" "3562" "5283"
"Eukaryota_SAR_Ochrophyta__100_144_73.24_NA_NA_NA_NA" "77001f93da2816b0cba17a77fcc176dd" "0" "0" "1665" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "924" "3305" "5681"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__100.00_146.00_ 90.12_NA" "7ebd1c9a6ccf67768a09829a94f1a217" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "3034" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__100.00_146.00_ 90.52_NA" "91d86a385cf9c272da49fab9a222a95e" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "2776" "0"
"Eukaryota_Bilateria_Deuterostomia_Chordata_Vertebrata_Gnathostomata__ 99.32_146.00_ 91.25_NA" "3559b2923abd00c0622f00aa5b59ac32" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "8" "0" "0" "1893" "79" "95"
"Eukaryota_Bilateria_Deuterostomia_Chordata_Vertebrata_Gnathostomata__ 99.32_146.00_ 91.25_NA" "a6ff71b0630bd857bf62b9090d230a3f" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1841" "0" "0"
