"OTU" "Feature_name" "152_179_Lych_384_193_S1_L001" "152_180_Reso_372_205_S2_L001" "152_184_Barg_360_217_S3_L001" "152_185_Barg_348_229_S4_L001" "152_186_Reso_336_241_S5_L001" "152_188_Barg_324_253_S6_L001" "152_189_Barg_312_265_S7_L001" "152_191_Marr_383_194_S9_L001" "152_193_Reso_371_206_S10_L001" "152_200_Fril_359_218_S11_L001" "152_201_Apol_347_230_S12_L001" "152_202_Apol_335_242_S13_L001" "152_203_Barg_323_254_S14_L001" "152_204_Keph_311_266_S15_L001" "152_205_Keph_299_278_S16_L001" "152_206_Nano_382_195_S17_L001" "152_207_Unde_370_207_S18_L001" "152_208_Lily_358_219_S19_L001" "152_209_Phys_346_231_S20_L001" "152_210_Lych_334_243_S21_L001" "152_211_Apol_322_255_S22_L001" "152_212_Fril_310_267_S23_L001" "152_213_Fors_298_279_S24_L001" "152_214_Lych_381_196_S25_L001" "152_215_Agal_369_208_S26_L001" "152_216_Diph_357_220_S27_L001" "152_217_Diph_345_232_S28_L001" "152_218_Diph_333_244_S29_L001" "152_219_Diph_321_256_S30_L001" "152_220_Cord_309_268_S31_L001" "152_221_Diph_297_280_S32_L001" "152_222_Gymn_380_197_S33_L001" "152_223_Cras_368_209_S34_L001" "152_225_Nano_344_233_S36_L001" "152_226_Desm_332_245_S37_L001" "152_229_Chun_320_257_S38_L001" "152_230_Lych_308_269_S39_L001" "152_231_Fors_296_281_S40_L001" "152_232_Barg_379_198_S41_L001" "152_237_Chun_367_210_S42_L001" "152_238_Gymn_355_222_S43_L001" "152_239_Barg_343_234_S44_L001" "152_240_Chun_331_246_S45_L001"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_153_91.67________NA_NA_NA_NA" "39e4ac515fb564208b80e54bcc06f0ee" "3116" "0" "7687" "8582" "7875" "19074" "8804" "14828" "11363" "9639" "9081" "0" "4988" "10432" "9311" "0" "9639" "19008" "0" "102" "14481" "0" "6782" "4302" "0" "22545" "18546" "19964" "17620" "59669" "26257" "17330" "7193" "0" "3957" "10274" "0" "11635" "9715" "9219" "17029" "17185" "10373"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_153_91.67________NA_NA_NA_NA" "0a17842af07f02ba3ae4fc6ef305dbca" "0" "0" "9738" "0" "389" "0" "0" "25485" "14024" "12161" "11108" "0" "0" "0" "15052" "0" "10608" "22584" "0" "0" "16067" "0" "8459" "0" "0" "27400" "21167" "23478" "23665" "67174" "32851" "0" "0" "0" "0" "0" "0" "0" "13713" "11641" "21577" "21385" "15479"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_153_91.67________NA_NA_NA_NA" "3f3c77cbd4de19a68f45249423571e68" "0" "17911" "0" "0" "8322" "23944" "0" "0" "0" "0" "0" "7435" "7533" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "24619" "0" "0" "0" "12353" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_153_91.67________NA_NA_NA_NA" "265d15da3abd471cf7651152f1a525f5" "3979" "0" "0" "11006" "0" "0" "10383" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15252" "136" "0" "11907" "0" "6931" "14437" "0" "0" "0" "0" "0" "0" "0" "8958" "0" "4927" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_133_91.46________NA_NA_NA_NA" "ce8a35702491643c41101d417c97f5c7" "0" "15996" "0" "0" "0" "0" "0" "0" "0" "0" "0" "5717" "0" "0" "0" "10468" "0" "0" "12215" "0" "0" "8098" "0" "0" "11724" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "9138" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_153_91.67________NA_NA_NA_NA" "dde375d1f4623f56021dec44ff32b70f" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "12862" "0" "13352" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "13177" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Decapoda_Dendrobranchiata__100_153_90.71____NA_NA_NA_NA" "fb8405699e16cd3e91ac3d23da36f02a" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15016" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Decapoda_Dendrobranchiata__100_153_90.71____NA_NA_NA_NA" "e18b78b8054647e599e2847fd6897fa0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "13042" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__99.35_153_91.34________NA_NA_NA_NA" "957bdc2056cf144567327d32ad2c0480" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "11150" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Hexapoda_Insecta_Pterygota_Neoptera_Paraneoptera_Hemiptera_Euhemiptera_Heteroptera_Panheteroptera_Cimicomorpha_Anthocoridae_Anthocorinae_Anthocoris_NA_86.36_132_83.01" "16e43ed9603d55d52d918cc5e3e83e3c" "0" "30" "3498" "0" "0" "220" "44" "37" "657" "16" "0" "0" "69" "0" "0" "0" "0" "0" "0" "163" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "409" "0" "0" "14" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Decapoda_Pleocyemata_Achelata_Palinuroidea_Scyllaridae__100_153_73.33_NA_NA_NA_NA" "6d32787c5284c7e77024e968aa1f778e" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "150" "0" "0" "0" "0" "0" "0" "27" "0" "0" "0" "0" "0" "4953" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Decapoda_Pleocyemata_Achelata_Palinuroidea_Scyllaridae__100_133_73.17_NA_NA_NA_NA" "5ef7a7f6216ae91df7daf768e0c96314" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "130" "0" "0" "0" "0" "0" "0" "23" "0" "0" "0" "0" "0" "4359" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__88.24_153_84.14_____________NA_NA_NA_NA" "f39b89df9d2bb796d2f190ca4585ee23" "0" "13" "2500" "108" "0" "132" "46" "18" "472" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "90" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "240" "0" "0" "5" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__98.69_153_91.00________NA_NA_NA_NA" "a07200882efc656b3cdad9c8fe89736e" "0" "2605" "0" "0" "583" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Stramenopiles__100_153_73.33____________NA_NA_NA_NA" "4d04ec1ce4702d836058ce188b5cf14d" "0" "0" "508" "0" "0" "0" "0" "0" "911" "0" "0" "0" "438" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Stramenopiles__100_153_73.33____________NA_NA_NA_NA" "4059589398ac56397543d65b8ea3253d" "0" "0" "333" "290" "0" "357" "0" "0" "535" "0" "0" "0" "124" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Stramenopiles__100_153_73.33____________NA_NA_NA_NA" "50c46daaafcac04273d33ccd9c036204" "0" "0" "0" "847" "176" "376" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "138" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Hexapoda_Insecta_Pterygota_Neoptera__89.61_154_85.45______NA_NA_NA_NA" "c0565be6f06bc867b9164c38d702f92f" "0" "0" "198" "593" "0" "0" "0" "0" "0" "0" "0" "0" "122" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "16" "0" "0" "0" "0" "0" "0" "0" "0" "91" "0" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Hexapoda_Insecta_Pterygota_Neoptera__89.61_154_85.45______NA_NA_NA_NA" "4531cfd005ea274fc61739786d362cd2" "0" "0" "128" "255" "0" "0" "0" "0" "0" "0" "0" "0" "59" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "19" "0" "0" "0" "0" "0" "0" "0" "0" "66" "0" "0" "0" "0"
"Eukaryota_Alveolata_Ciliophora_Intramacronucleata_Phyllopharyngea_Suctoria_Exogenida_Ephelotidae_Ephelota__97.39_153_71.95_____NA_NA_NA_NA" "4e346a3b32e10359fcce161d6236e9c7" "0" "0" "207" "0" "234" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida__100_153_91.67______NA_NA_NA_NA" "c98f58e58da0d5913a7a4623c78490ff" "0" "0" "0" "0" "239" "0" "115" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Alveolata_Dinophyceae_Prorocentrales_Prorocentraceae_Prorocentrum__100_133_73.09________NA_NA_NA_NA" "264d60d45a5cce893ac370fc3f00c5f7" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "331" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida__100_153_91.67______NA_NA_NA_NA" "cdfd27cb481366fc7c31c74adb7133dd" "0" "0" "0" "0" "187" "0" "132" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Viridiplantae_Streptophyta_Embryophyta_Tracheophyta_Spermatophyta_Magnoliophyta__99.35_153_91.13_______NA_NA_NA_NA" "4ced93f5f6f89f1bad4ce4ae56ac124e" "0" "0" "0" "276" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Chordata_Craniata_Vertebrata_Euteleostomi_Mammalia_Eutheria_Euarchontoglires__100_153_73.33_____NA_NA_NA_NA" "63b7e7614da4cd830c5c081a05d027eb" "0" "0" "0" "0" "40" "0" "0" "0" "0" "0" "0" "0" "194" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Fungi_Dikarya_Basidiomycota_Ustilaginomycotina_Malasseziomycetes_Malasseziales_Malasseziaceae_Malassezia__100_153_91.67_____NA_NA_NA_NA" "b3c226f95332cc3c5c93102be80afad2" "0" "0" "0" "0" "35" "0" "0" "0" "0" "0" "0" "0" "177" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Alveolata_Ciliophora_Intramacronucleata_Phyllopharyngea_Suctoria_Exogenida_Ephelotidae_Ephelota__97.39_153_71.95_____NA_NA_NA_NA" "035b497c71ec2688a9848aa5c50ee415" "0" "0" "0" "0" "181" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Alveolata_Ciliophora_Intramacronucleata_Phyllopharyngea_Suctoria_Exogenida_Ephelotidae_Ephelota__94.77_153_70.73_____NA_NA_NA_NA" "746892247eaa5b205bad2dd441a9a013" "0" "0" "162" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__97.39_153_90.30________NA_NA_NA_NA" "69b7fe3a9944722c3a4a443b98a6397b" "0" "0" "0" "0" "160" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
