"OTU" "Feature_name" "166_179_Lych_384_193_S1_L001" "166_180_Reso_372_205_S2_L001" "166_184_Barg_360_217_S3_L001" "166_185_Barg_348_229_S4_L001" "166_186_Reso_336_241_S5_L001" "166_188_Barg_324_253_S6_L001" "166_189_Barg_312_265_S7_L001" "166_191_Marr_383_194_S9_L001" "166_193_Reso_371_206_S10_L001" "166_200_Fril_359_218_S11_L001" "166_201_Apol_347_230_S12_L001" "166_202_Apol_335_242_S13_L001" "166_203_Barg_323_254_S14_L001" "166_204_Keph_311_266_S15_L001" "166_205_Keph_299_278_S16_L001" "166_206_Nano_382_195_S17_L001" "166_207_Unde_370_207_S18_L001" "166_208_Lily_358_219_S19_L001" "166_209_Phys_346_231_S20_L001" "166_210_Lych_334_243_S21_L001" "166_211_Apol_322_255_S22_L001" "166_212_Fril_310_267_S23_L001" "166_213_Fors_298_279_S24_L001" "166_214_Lych_381_196_S25_L001" "166_215_Agal_369_208_S26_L001" "166_216_Diph_357_220_S27_L001" "166_217_Diph_345_232_S28_L001" "166_218_Diph_333_244_S29_L001" "166_219_Diph_321_256_S30_L001" "166_220_Cord_309_268_S31_L001" "166_221_Diph_297_280_S32_L001" "166_222_Gymn_380_197_S33_L001" "166_223_Cras_368_209_S34_L001" "166_224_Barg_356_221_S35_L001" "166_225_Nano_344_233_S36_L001" "166_226_Desm_332_245_S37_L001" "166_229_Chun_320_257_S38_L001" "166_230_Lych_308_269_S39_L001" "166_231_Fors_296_281_S40_L001" "166_232_Barg_379_198_S41_L001" "166_237_Chun_367_210_S42_L001" "166_238_Gymn_355_222_S43_L001" "166_239_Barg_343_234_S44_L001" "166_240_Chun_331_246_S45_L001"
"Eukaryota_Ctenophora_Tentaculata_uncultured eukaryote___uncultured eukaryote_NA_ 99.39_165.00_73.18" "244beb070e700abdec57282c9fbab3fb" "0" "0" "15219" "0" "0" "52681" "0" "0" "0" "0" "18088" "11054" "0" "16652" "25475" "0" "0" "0" "0" "781" "0" "0" "12561" "0" "0" "54219" "28809" "27953" "41950" "35094" "48709" "32972" "0" "0" "0" "0" "17305" "20116" "0" "19945" "17464" "0" "27444" "24801"
"Eukaryota_Ctenophora_Tentaculata_uncultured eukaryote___uncultured eukaryote_NA_ 99.31_145.00_72.99" "42ec8a4d9fdd6679fc0d090667b732cb" "0" "0" "14712" "0" "0" "46866" "12218" "0" "0" "0" "0" "0" "0" "14612" "18998" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "47194" "26371" "26875" "31251" "29346" "35816" "0" "0" "3149" "0" "0" "12328" "18857" "0" "15251" "14615" "23282" "22122" "19458"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group II_uncultured eukaryote_uncultured eukaryote_NA_100.00_149.00_91.63" "ab960eb1201e76010dfdf523607295b6" "7287" "25730" "0" "12889" "12973" "0" "13581" "29163" "0" "15808" "0" "0" "11918" "0" "0" "18836" "14340" "31656" "21560" "0" "24897" "12588" "0" "12513" "23862" "0" "0" "0" "0" "0" "0" "0" "15975" "3855" "25" "7239" "0" "24" "23431" "0" "0" "28669" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_uncultured eukaryote_uncultured eukaryote_NA_ 99.31_145.00_91.24" "a58b1732bdaf9a7b72a034dd77ff349c" "6285" "21864" "0" "10898" "11515" "0" "0" "26223" "0" "12122" "15303" "8809" "8067" "0" "0" "16456" "12108" "28130" "15461" "446" "23123" "9534" "10302" "10424" "20833" "0" "0" "0" "0" "0" "200" "24352" "13241" "0" "0" "5971" "0" "0" "20098" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia__99.31_144_89.19_NA_NA_NA_NA" "41f12c7d42aebdf2d4a604f6e5c09f56" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "21920" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__100.00_144.00_ 91.57_NA" "f9389ced85a17eba5f1b7e6e9049421e" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "191" "0" "0" "0" "0" "0" "0" "38" "0" "0" "0" "0" "0" "13053" "8632" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda__99.32_146.00_ 72.13_NA_NA" "2677030131bb1d2d735f9f3d58d1aab8" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "21001" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__ 99.32_146.00_ 91.25_NA" "e6ded71f10e118351fd6051bbdcb89fe" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "40" "0" "0" "0" "0" "0" "11771" "8667" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Ochrophyta__100_144_73.24_NA_NA_NA_NA" "ab0626787139365d3ae56fac470c10a9" "0" "29" "989" "372" "208" "725" "93" "50" "0" "163" "0" "0" "302" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "41" "0" "0" "0" "0" "0" "0" "0" "0" "0" "173" "0" "0" "0" "0"
"Eukaryota_SAR_Ochrophyta__100_144_73.24_NA_NA_NA_NA" "00da76450a202ab7b0f8c7125be2f17e" "0" "0" "1177" "289" "166" "711" "122" "56" "0" "0" "0" "0" "368" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "11" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
