"OTU" "Feature_name" "134_264_Nano_093_100_S1_L001" "134_265_Nano_081_112_S2_L001" "134_266_Nano_069_124_S3_L001" "134_267_Nano_057_136_S4_L001" "134_269_Nano_033_160_S6_L001" "134_270_Nano_021_172_S7_L001" "134_271_Nano_009_184_S8_L001" "134_272_Nano_092_101_S9_L001" "134_273_Nano_080_113_S10_L001" "134_274_Nano_068_125_S11_L001" "134_275_Nano_056_137_S12_L001" "134_276_Sulc_044_149_S13_L001"
"Eukaryota__100_119_90.62___NA_NA_NA" "17a4ee290bf263ba764cc688fae870d7" "38884" "100645" "74764" "85189" "64309" "61596" "48487" "81777" "70690" "106197" "95095" "94240"
"Eukaryota__100_119_90.62___NA_NA_NA" "825566362e296f12d3675111d5f540f3" "36659" "97687" "78756" "85305" "64954" "58621" "48877" "79812" "79192" "106057" "99392" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_uncultured eukaryote_uncultured eukaryote_NA_100.00_119.00" "674e638bbd2b256fd915adbb637e3179" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "86364"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__100.00_117.00_ 90.64" "1795a02fff90f3ee9820e34e7584ac96" "0" "0" "0" "0" "1282" "0" "9591" "0" "294" "0" "0" "133"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__100.00_117.00_ 90.64" "5517b0f91a8ab903ada0735648493bae" "0" "0" "0" "0" "0" "0" "10420" "0" "341" "0" "0" "126"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__100.00_107.00_ 71.74" "539ae1ce12f3af2140d878361d3cdfda" "0" "0" "0" "0" "0" "1887" "128" "0" "735" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__100.00_107.00_ 71.74" "8e2d23f2450dafd6c944c9eee2a9a027" "0" "0" "0" "0" "0" "1997" "0" "0" "644" "0" "0" "0"
"Eukaryota__100_119_90.62___NA_NA_NA" "5a0e859762d4368fa4ade12f482075c1" "64" "221" "44" "128" "184" "190" "204" "173" "209" "54" "378" "211"
"Eukaryota__99.16_119_90.37___NA_NA_NA" "03c0514b9e9b73680b0bd5bc4ecc8702" "0" "0" "0" "808" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__100_119_90.62___NA_NA_NA" "83e294cc5d73e322467cc06b1b247ce9" "0" "80" "0" "0" "55" "61" "57" "28" "111" "27" "158" "127"
"Eukaryota__100_113_90.14___NA_NA_NA" "9953db0730baac38428647dfb0738b30" "0" "0" "0" "0" "0" "0" "0" "0" "288" "136" "0" "0"
"Eukaryota__100_113_90.14___NA_NA_NA" "d0f071569e46636887fdb4ecbccec256" "0" "0" "0" "0" "0" "0" "0" "0" "200" "118" "0" "0"
"Eukaryota_Bilateria_Protostomia_Lophotrochozoa_Platyhelminthes_Trematoda__ 99.19_123.00_ 90.27" "94a91bcf22e9c84f354674a3c7e9f9a1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "66" "0" "0"
"Eukaryota_Bilateria_Protostomia_Lophotrochozoa_Platyhelminthes_Trematoda__ 99.19_123.00_ 90.27" "0513dc08cb07d0fde193b438e106d01d" "0" "0" "0" "0" "0" "0" "0" "0" "0" "57" "0" "0"
"Eukaryota__100_110_90.47___NA_NA_NA" "2c4c4c0061c0e5870b271ffabe64bbfb" "0" "0" "0" "0" "37" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__100_88_90.97___NA_NA_NA" "ea582cbd3ffb01bc36702aed3e6cf8f2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "25"
"Eukaryota__100_88_90.97___NA_NA_NA" "d3c4bb6dc0dc27744eaab2ab8faa8b63" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "19"
"Eukaryota_Ciliophora_Intramacronucleata_Conthreep_Oligohymenophorea_Apostomatia__100.00_104.00_ 71.17" "62f4d94a95e8c27212f8a92e3c9edeb2" "0" "0" "0" "0" "18" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Basidiomycota_Agaricomycotina_Corticiales_Corticiaceae__97.96_ 49.00_ 71.63_NA" "5ba9514a0fd716f44259fc59a6e63abe" "0" "0" "0" "0" "13" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Basidiomycota_Agaricomycotina_Corticiales_Corticiaceae__97.96_ 49.00_ 71.63_NA" "7c655c67cfe4947020db17f36c3c8a1f" "0" "0" "0" "0" "12" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Ciliophora_Intramacronucleata_Conthreep_Oligohymenophorea_Apostomatia__100.00_104.00_ 71.17" "44efc987041aedb48e524bcd12493673" "0" "0" "0" "0" "8" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__100_79_90.25___NA_NA_NA" "f79e3286680b54b7603167fbd64598a9" "0" "0" "0" "0" "5" "0" "0" "0" "0" "0" "0" "0"
