"OTU" "Feature_name" "166_264_Nano_093_100_S1_L001" "166_265_Nano_081_112_S2_L001" "166_266_Nano_069_124_S3_L001" "166_267_Nano_057_136_S4_L001" "166_268_Nano_045_148_S5_L001" "166_269_Nano_033_160_S6_L001" "166_270_Nano_021_172_S7_L001" "166_271_Nano_009_184_S8_L001" "166_272_Nano_092_101_S9_L001" "166_273_Nano_080_113_S10_L001" "166_274_Nano_068_125_S11_L001" "166_275_Nano_056_137_S12_L001" "166_276_Sulc_044_149_S13_L001"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Physonectae__99.39_165_73.12_NA_NA_NA_NA" "4ba42ae6dea6709cfb3c2e64745647c0" "59227" "97562" "97947" "95326" "108206" "85679" "81143" "48468" "96028" "73759" "119471" "116558" "93527"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Physonectae__99.39_165_73.12_NA_NA_NA_NA" "98121af57e592a3f16c2e7c87ee27033" "44781" "89426" "92332" "81080" "102957" "73823" "71808" "44621" "87744" "75255" "92069" "115401" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__98.61_144_72.54__NA_NA_NA_NA" "a939e4332eec1b60ceb75af5be58c605" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "78749"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida__100_167_72.75_NA_NA_NA" "1caad9ef20cb75194ee3dfe52943393c" "0" "0" "0" "0" "235" "2361" "5373" "16930" "0" "3104" "0" "0" "350"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida__100_147_72.61_NA_NA_NA" "98db3c2d312070d10ea38cb22a2a4dba" "0" "0" "0" "0" "159" "1722" "4451" "15880" "0" "2773" "0" "0" "172"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Acartiidae_Acartia_Acartia tonsa_NA_99.39_163_91.46" "464f4db03e9945fc160930210e4e5112" "0" "0" "0" "0" "0" "19" "0" "0" "0" "751" "912" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Acartiidae_Acartia_Acartia tonsa_NA_99.39_163_91.46" "9aaaf723a92ca83651c54fb4a6d8fe7b" "0" "0" "0" "0" "0" "9" "0" "0" "0" "512" "644" "0" "0"
"Eukaryota_Metazoa_Platyhelminthes_Trematoda_Digenea_Plagiorchiida__98.8_166_91.12__NA_NA_NA_NA" "db006b1eb3926201c029453c9896c7ae" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "63" "0" "0"
"Eukaryota_Metazoa_Platyhelminthes_Trematoda_Digenea_Plagiorchiida__98.8_166_91.12__NA_NA_NA_NA" "61a48aa04a323c0d27b6a247b9331ffe" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "63" "0" "0"
"Eukaryota_Stramenopiles_Bacillariophyta_Mediophyceae_Biddulphiophycidae__100_164_91.78___NA_NA_NA_NA" "a864298d4d332555392df772b38ce3df" "0" "0" "0" "0" "0" "0" "0" "0" "0" "40" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Physonectae__100_144_73.21_NA_NA_NA_NA" "ca37cc768ec5fec742aecf67e6307ef9" "0" "0" "0" "0" "33" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Physonectae__95.86_145_71.41_NA_NA_NA_NA" "7807010ad7f8e47b0a36deb2af3c3616" "0" "0" "0" "0" "0" "28" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Physonectae__97.24_145_72.04_NA_NA_NA_NA" "19747e4926116e11bce1da090e371a1e" "0" "0" "0" "0" "0" "0" "0" "0" "0" "24" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__90.26_154_85.76__NA_NA_NA_NA" "6557d494cb53c7a4c40c18fc071cd8bf" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "23" "0"
"Eukaryota_Viridiplantae_Streptophyta_Embryophyta_Brassicales_Cucumis sativus __97.59_83_89.72__NA_NA_NA_NA" "e9948e88179f96adce374a11845f6635" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "19" "0" "0"
"Eukaryota_Fungi_Chytridiomycota_Chytridiomycetes__98.17_164_90.43____NA_NA_NA_NA" "9d4fdb50124d3b03b958293d5c5f3aec" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "19" "0" "0"
"Eukaryota_Unknown Eukaryote_N/A_ N/A_N/A_______NA_NA_NA_NA" "38619d5a165f5abfff4fef6e12967d5a" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "17"
"Eukaryota_Alveolata_Dinophyceae__99.39_163_88.01_____NA_NA_NA_NA" "90223a01aad1bd1993c5cd85373a66e5" "0" "0" "0" "0" "0" "0" "0" "0" "0" "3" "0" "0" "0"
