"OTU" "Feature_name" "272_264_Nano_093_100_S1_L001" "272_265_Nano_081_112_S2_L001" "272_266_Nano_069_124_S3_L001" "272_267_Nano_057_136_S4_L001" "272_268_Nano_045_148_S5_L001" "272_269_Nano_033_160_S6_L001" "272_270_Nano_021_172_S7_L001" "272_271_Nano_009_184_S8_L001" "272_272_Nano_092_101_S9_L001" "272_273_Nano_080_113_S10_L001" "272_274_Nano_068_125_S11_L001" "272_275_Nano_056_137_S12_L001" "272_276_Sulc_044_149_S13_L001"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_uncultured eukaryote_uncultured eukaryote_NA_ 99.20_251.0_92.21" "4818a01f3652ff47ff17be7ee8154912" "22558" "36880" "35980" "35071" "42951" "48795" "34046" "1070" "33117" "1101" "13132" "39198" "114455"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_uncultured eukaryote_uncultured eukaryote_NA_ 99.20_251.0_92.21" "ee1e34c4a28fb799f5680990bc64a841" "15823" "43144" "34816" "26396" "40631" "39857" "28307" "31424" "29247" "27272" "10926" "34911" "76312"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__ 99.21_253.00_ 91.3_NA" "08cc1a9e6695de6562ccbbcca9786901" "0" "0" "0" "0" "618" "501" "1377" "18906" "0" "1799" "0" "0" "183"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__98.24_198.00_ 90.99_NA_NA" "a8026d86b3de6b6fdfa0752cb11553c1" "9" "18" "25" "0" "0" "65" "37" "0" "0" "96" "17" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__98.59_212.00_ 91.27_NA_NA" "098d8f1a1e4e99caa93f75adac9adf71" "0" "0" "23" "7" "0" "0" "5" "130" "46" "0" "28" "0" "0"
"Eukaryota_Dinoflagellata_Dinophyceae_Gymnodiniphycidae_Suessiaceae__99.21_252.00_ 92.23_NA_NA" "47f5fee37f25cf54c2dddf2e38c3d3b4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "125" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina__100_66_ 90.73_NA_NA_NA" "d9014747840d54f5386d13b8439fa3ef" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "98"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__98.73_221.00_ 91.33_NA_NA" "4120e2729a9fd2a2dd36e4f906a15f23" "0" "0" "35" "0" "0" "0" "0" "0" "33" "26" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__98.58_141.00_ 90.82_NA_NA" "1b8bf44fb827607eaf1b5aab8d4e7ab3" "0" "0" "0" "0" "92" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__98.89_196.00_ 91.22_NA_NA" "41b762378c402602eed371162a4218cd" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "90" "0"
