"Feature_name"	"OTU"	"sample"	"abundance"	"run"	"barcode"	"database"	"Relative_IDs"	"IDs"
"1795a02fff90f3ee9820e34e7584ac96"	"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Centropagidae"	"269_Nano"	1282	"RUN4"	"134"	"SILVA"	"Eukaryota(90.64);Metazoa(90.64);Ecdysozoa(90.64);Arthropoda(90.64);Crustacea(90.64);Maxillopoda(90.64);Copepoda(90.64);Calanoida(90.64);Centropagidae(72.74);Centropages(54.74);Centropages hamatus(22.82);"	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Crustacea;Maxillopoda;Copepoda;Calanoida;Centropagidae;"
"1795a02fff90f3ee9820e34e7584ac96"	"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Centropagidae"	"271_Nano"	9591	"RUN4"	"134"	"SILVA"	"Eukaryota(90.64);Metazoa(90.64);Ecdysozoa(90.64);Arthropoda(90.64);Crustacea(90.64);Maxillopoda(90.64);Copepoda(90.64);Calanoida(90.64);Centropagidae(72.74);Centropages(54.74);Centropages hamatus(22.82);"	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Crustacea;Maxillopoda;Copepoda;Calanoida;Centropagidae;"
"5517b0f91a8ab903ada0735648493bae"	"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Centropagidae"	"271_Nano"	10420	"RUN4"	"134"	"SILVA"	"Eukaryota(90.64);Metazoa(90.64);Ecdysozoa(90.64);Arthropoda(90.64);Crustacea(90.64);Maxillopoda(90.64);Copepoda(90.64);Calanoida(90.64);Centropagidae(72.74);Centropages(54.74);Centropages hamatus(22.82);"	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Crustacea;Maxillopoda;Copepoda;Calanoida;Centropagidae;"
"1795a02fff90f3ee9820e34e7584ac96"	"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Centropagidae"	"273_Nano"	294	"RUN4"	"134"	"SILVA"	"Eukaryota(90.64);Metazoa(90.64);Ecdysozoa(90.64);Arthropoda(90.64);Crustacea(90.64);Maxillopoda(90.64);Copepoda(90.64);Calanoida(90.64);Centropagidae(72.74);Centropages(54.74);Centropages hamatus(22.82);"	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Crustacea;Maxillopoda;Copepoda;Calanoida;Centropagidae;"
"5517b0f91a8ab903ada0735648493bae"	"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Centropagidae"	"273_Nano"	341	"RUN4"	"134"	"SILVA"	"Eukaryota(90.64);Metazoa(90.64);Ecdysozoa(90.64);Arthropoda(90.64);Crustacea(90.64);Maxillopoda(90.64);Copepoda(90.64);Calanoida(90.64);Centropagidae(72.74);Centropages(54.74);Centropages hamatus(22.82);"	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Crustacea;Maxillopoda;Copepoda;Calanoida;Centropagidae;"
"94a91bcf22e9c84f354674a3c7e9f9a1"	"Eukaryota_Metazoa_Platyhelminthes_Trematoda_Digenea_Plagiorchiida"	"274_Nano"	66	"RUN4"	"134"	"SILVA"	"Eukaryota(90.36);Metazoa(90.36);Platyhelminthes(90.36);Trematoda(90.36);Digenea(90.36);Plagiorchiida(72.25);Allocreadiata(18.19);Lepocreadioidea(18.19);Lepocreadiidae(18.19);Preptetos(18.19);Preptetos caballeroi(18.19);"	"Eukaryota;Metazoa;Platyhelminthes;Trematoda;Digenea;Plagiorchiida;"
"0513dc08cb07d0fde193b438e106d01d"	"Eukaryota_Metazoa_Platyhelminthes_Trematoda_Digenea_Plagiorchiida"	"274_Nano"	57	"RUN4"	"134"	"SILVA"	"Eukaryota(90.36);Metazoa(90.36);Platyhelminthes(90.36);Trematoda(90.36);Digenea(90.36);Plagiorchiida(72.25);Allocreadiata(18.19);Lepocreadioidea(18.19);Lepocreadiidae(18.19);Preptetos(18.19);Preptetos caballeroi(18.19);"	"Eukaryota;Metazoa;Platyhelminthes;Trematoda;Digenea;Plagiorchiida;"
"1795a02fff90f3ee9820e34e7584ac96"	"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Centropagidae"	"276_Sulc"	133	"RUN4"	"134"	"SILVA"	"Eukaryota(90.64);Metazoa(90.64);Ecdysozoa(90.64);Arthropoda(90.64);Crustacea(90.64);Maxillopoda(90.64);Copepoda(90.64);Calanoida(90.64);Centropagidae(72.74);Centropages(54.74);Centropages hamatus(22.82);"	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Crustacea;Maxillopoda;Copepoda;Calanoida;Centropagidae;"
"5517b0f91a8ab903ada0735648493bae"	"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Centropagidae"	"276_Sulc"	126	"RUN4"	"134"	"SILVA"	"Eukaryota(90.64);Metazoa(90.64);Ecdysozoa(90.64);Arthropoda(90.64);Crustacea(90.64);Maxillopoda(90.64);Copepoda(90.64);Calanoida(90.64);Centropagidae(72.74);Centropages(54.74);Centropages hamatus(22.82);"	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Crustacea;Maxillopoda;Copepoda;Calanoida;Centropagidae;"
"1795a02fff90f3ee9820e34e7584ac96"	"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida"	"269_Nano"	1282	"RUN4"	"134"	"GenBank"	"Eukaryota(90.64);Metazoa(90.64);Ecdysozoa(90.64);Arthropoda(90.64);Crustacea(90.64);Maxillopoda(90.64);Copepoda(90.64);Calanoida(90.64);Centropagidae(72.74);Centropages(54.74);Centropages hamatus(22.82);"	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Crustacea;Maxillopoda;Copepoda;Calanoida;Centropagidae;"
