"OTU" "Feature_name" "272_300Apole_091_102_S1_L001" "272_304Crase_079_114_S2_L001" "272_305Crase_067_126_S3_L001" "272_309Forsk_055_138_S4_L001" "272_310Gymno_043_150_S5_L001" "272_311Lychn_031_162_S6_L001" "272_313Marru_019_174_S7_L001" "272_314Praya_007_186_S8_L001" "272_315Resom_090_103_S9_L001" "272_316Resom_078_115_S10_L001" "272_317Vogti_066_127_S11_L001" "272_319Frill_054_139_S12_L001" "272_320Forsk_042_151_S13_L001"
"Eukaryota_environmental samples_uncultured eukaryote__99.2_251_92.21_____" "ae50393ad36e2362973c6170b163ed06" "46736" "67571" "68421" "988" "12" "176" "66404" "89371" "106174" "47388" "49982" "63296" "24413"
"Eukaryota_environmental samples_uncultured eukaryote__99.2_251_92.21_____" "f6c66ddcb96a2bedaca91c9a4b1677aa" "43102" "60966" "60319" "21573" "77" "140" "63030" "72740" "104461" "46480" "50397" "61764" "23857"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Euphausiacea_Euphausiidae__99.6" "29774579fb43b1664ad3e37c2bc36ce1" "0" "0" "0" "0" "0" "57821" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Euphausiacea_Euphausiidae__99.6" "4294ad1f0fb128602c3f65cede563789" "0" "0" "0" "0" "0" "48145" "0" "0" "0" "0" "31" "11" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Decapoda_Dendrobranchiata_Sergestoidea_" "3432386c7fcf8c5e9affe3e3d2885616" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "19985"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Decapoda_Dendrobranchiata_Sergestoidea_" "278e0e9161d5fd9d2d67bc81c87bb9bb" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "17465"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida__99.21_253_92.24" "94f60116c115d0cdf900b253e3e23b19" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "32" "5610"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida__99.21_253_92.24" "3a071153427a6b5418c7b8fa3fddc7ea" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "28" "5271"
"Eukaryota__87.89_190_86.16_______" "843d1c57e239293aa9e1235c4de42b6b" "0" "0" "1014" "0" "0" "136" "308" "0" "770" "0" "1557" "57" "885"
"Eukaryota__87.89_190_86.16_______" "4bcca4ca4cc9ea9c05b5b885e971b478" "0" "0" "846" "0" "0" "132" "285" "0" "668" "0" "1369" "46" "770"
"Eukaryota_environmental samples_uncultured eukaryote__99.21_253_91.34_____" "5ac25e92dc3cfea6a4a96b3f72f99d32" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "216" "1320"
"Eukaryota_environmental samples_uncultured eukaryote__99.21_253_91.34_____" "cad17be1a7803e831b9659abe3b11085" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "200" "1135"
"Eukaryota_Alveolata__96.81_251_72.55______" "368a9ad497d32fbd897269315ce1b372" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "61" "1184"
"Eukaryota_Metazoa_Chordata_Craniata_Vertebrata_Euteleostomi_Mammalia_Eutheria__99.6_252_92.44" "3bc056ea32ddc6c5f9c3e9be7b347aee" "0" "0" "93" "53" "0" "381" "56" "0" "186" "60" "259" "63" "49"
"Eukaryota_Viridiplantae_Chlorophyta_Chlorophyceae_Sphaeropleales_Scenedesmaceae__99.6_252_92.44__" "f74a24eb7442fddbafc78d3146ad7af5" "0" "0" "113" "0" "0" "34" "18" "0" "32" "0" "65" "126" "717"
"Eukaryota_Metazoa_Chordata_Craniata_Vertebrata_Euteleostomi_Mammalia_Eutheria__99.6_252_92.44" "9ecc342e6fb43fd308b4ebb5adec50ee" "0" "0" "74" "0" "7" "439" "47" "0" "0" "55" "218" "68" "54"
"Eukaryota_Viridiplantae_Chlorophyta_Chlorophyceae_Sphaeropleales_Scenedesmaceae__99.6_252_92.44__" "09bc1eceb7ee3c9b8468eb7c74fb7706" "0" "0" "86" "0" "0" "0" "0" "0" "24" "0" "48" "99" "703"
"Eukaryota__97.21_251_90.58_______" "88f967412ff16aa10f9df1b4302dfcfb" "119" "0" "0" "0" "0" "0" "0" "0" "0" "0" "641" "0" "0"
"Eukaryota__97.21_251_90.58_______" "d531504a3a7a9c4b9e4ac44077e40da9" "93" "0" "0" "0" "0" "0" "21" "0" "7" "0" "568" "0" "0"
"Eukaryota_Alveolata__98.8_251_73.47______" "1a6b91fe6219c144b048f0ea5fcf652a" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "51" "600"
