"Feature_name"	"OTU"	"sample"	"abundance"	"run"	"barcode"	"database"	"Relative_IDs"	"IDs"
"b89afbdbdfd73b86a2ef752526298ad8"	"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Chelicerata_Arachnida_Acari_Acariformes_Sarcoptiformes_Astigmata"	"110_Vogtia"	7	"RUN1"	"134"	"SILVA"	"Eukaryota(85.39);Metazoa(85.39);Ecdysozoa(85.39);Arthropoda(85.39);Chelicerata(85.39);Arachnida(85.39);Acari(85.39);Acariformes(85.39);Sarcoptiformes(85.39);Astigmata(85.39);Psoroptidia(0);Analgoidea(51.23);Ptyssalgidae(17.07);Ptyssalges(17.07);Ptyssalges sp. A PBK-2011(17.07);"	"Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Chelicerata	Arachnida	Acari	Acariformes	Sarcoptiformes	Astigmata"
"9f1a05c60ecc84829c9a9100c417fe4a"	"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Peracarida_Mysidacea_Lophogastrida"	"124_Nanomia"	1423	"RUN1"	"134"	"SILVA"	"Eukaryota(88.99);Metazoa(88.99);Ecdysozoa(71.61);Arthropoda(71.61);Crustacea(71.61);Malacostraca(71.61);Eumalacostraca(71.61);Peracarida(71.61);Mysidacea(71.61);Lophogastrida(71.61);Lophogastridae(67.13);Neognathophausia(17.90);Neognathophausia gigas(17.90);"	"Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Malacostraca	Eumalacostraca	Peracarida	Mysidacea	Lophogastrida"
"058fc3807674688815a4ce76a7a5aeab"	"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Peracarida_Mysidacea_Lophogastrida"	"124_Nanomia"	1376	"RUN1"	"134"	"SILVA"	"Eukaryota(88.99);Metazoa(88.99);Ecdysozoa(71.61);Arthropoda(71.61);Crustacea(71.61);Malacostraca(71.61);Eumalacostraca(71.61);Peracarida(71.61);Mysidacea(71.61);Lophogastrida(71.61);Lophogastridae(67.13);Neognathophausia(17.90);Neognathophausia gigas(17.90);"	"Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Malacostraca	Eumalacostraca	Peracarida	Mysidacea	Lophogastrida"
"e8b71c8f376687494b3ef3d35f0a6a09"	"Eukaryota_Metazoa_Chordata_Craniata_Vertebrata_Euteleostomi_Actinopterygii_Neopterygii_Teleostei_"	"165_Physalia"	201	"RUN1"	"134"	"SILVA"	"Eukaryota(90.53);Metazoa(90.53);Chordata(90.53);Craniata(90.53);Vertebrata(90.53);Euteleostomi(90.53);Actinopterygii(90.53);Neopterygii(90.53);Teleostei(90.53);Clupei(18.19);Clupeiformes(18.19);Clupeoidei(18.19);Clupeidae(18.19);Nematalosa(18.19);Nematalosa erebi (18.19);"	"Eukaryota	Metazoa	Chordata	Craniata	Vertebrata	Euteleostomi	Actinopterygii	Neopterygii	Teleostei"
"5a654d2bf5630002bc791964d94d969f"	"Eukaryota_Metazoa_Chordata_Craniata_Vertebrata_Euteleostomi_Actinopterygii_Neopterygii_Teleostei_"	"165_Physalia"	220	"RUN1"	"134"	"SILVA"	"Eukaryota(90.53);Metazoa(90.53);Chordata(90.53);Craniata(90.53);Vertebrata(90.53);Euteleostomi(90.53);Actinopterygii(90.53);Neopterygii(90.53);Teleostei(90.53);Clupei(18.19);Clupeiformes(18.19);Clupeoidei(18.19);Clupeidae(18.19);Nematalosa(18.19);Nematalosa erebi (18.19);"	"Eukaryota	Metazoa	Chordata	Craniata	Vertebrata	Euteleostomi	Actinopterygii	Neopterygii	Teleostei"
"e8b71c8f376687494b3ef3d35f0a6a09"	"Eukaryota_Metazoa_Chordata_Craniata_Vertebrata_Euteleostomi_Actinopterygii_Neopterygii_Teleostei_"	"167_Physalia"	48	"RUN1"	"134"	"SILVA"	"Eukaryota(90.53);Metazoa(90.53);Chordata(90.53);Craniata(90.53);Vertebrata(90.53);Euteleostomi(90.53);Actinopterygii(90.53);Neopterygii(90.53);Teleostei(90.53);Clupei(18.19);Clupeiformes(18.19);Clupeoidei(18.19);Clupeidae(18.19);Nematalosa(18.19);Nematalosa erebi (18.19);"	"Eukaryota	Metazoa	Chordata	Craniata	Vertebrata	Euteleostomi	Actinopterygii	Neopterygii	Teleostei"
"5a654d2bf5630002bc791964d94d969f"	"Eukaryota_Metazoa_Chordata_Craniata_Vertebrata_Euteleostomi_Actinopterygii_Neopterygii_Teleostei_"	"167_Physalia"	70	"RUN1"	"134"	"SILVA"	"Eukaryota(90.53);Metazoa(90.53);Chordata(90.53);Craniata(90.53);Vertebrata(90.53);Euteleostomi(90.53);Actinopterygii(90.53);Neopterygii(90.53);Teleostei(90.53);Clupei(18.19);Clupeiformes(18.19);Clupeoidei(18.19);Clupeidae(18.19);Nematalosa(18.19);Nematalosa erebi (18.19);"	"Eukaryota	Metazoa	Chordata	Craniata	Vertebrata	Euteleostomi	Actinopterygii	Neopterygii	Teleostei"
"cfced60ad02fb76d72fa4d21b5be37b8"	"Eukaryota_Metazoa_Lophotrochozoa_Mollusca_Gastropoda_Caenogastropoda_Hypsogastropoda_Littorinimorpha_Truncatelloidea_Pomatiopsidae"	"167_Physalia"	92	"RUN1"	"134"	"SILVA"	"Eukaryota(90.95);Metazoa(90.95);Lophotrochozoa(90.95);Mollusca(90.95);Gastropoda(90.95);Caenogastropoda(90.95);Hypsogastropoda(90.95);Littorinimorpha(90.95);Truncatelloidea(90.95);Pomatiopsidae(72.76);Pomatiopsinae(72.76);Blanfordia(18.19);Blanfordia integra(18.19);"	"Eukaryota	Metazoa	Lophotrochozoa	Mollusca	Gastropoda	Caenogastropoda	Hypsogastropoda	Littorinimorpha	Truncatelloidea	Pomatiopsidae	Pomatiopsinae"
"4f6e6f87fb3b5f1dff64fe6f443e88a0"	"Eukaryota_Metazoa_Lophotrochozoa_Mollusca_Gastropoda_Caenogastropoda_Hypsogastropoda_Littorinimorpha_Truncatelloidea_Pomatiopsidae"	"167_Physalia"	88	"RUN1"	"134"	"SILVA"	"Eukaryota(90.95);Metazoa(90.95);Lophotrochozoa(90.95);Mollusca(90.95);Gastropoda(90.95);Caenogastropoda(90.95);Hypsogastropoda(90.95);Littorinimorpha(90.95);Truncatelloidea(90.95);Pomatiopsidae(72.76);Pomatiopsinae(72.76);Blanfordia(18.19);Blanfordia integra(18.19);"	"Eukaryota	Metazoa	Lophotrochozoa	Mollusca	Gastropoda	Caenogastropoda	Hypsogastropoda	Littorinimorpha	Truncatelloidea	Pomatiopsidae	Pomatiopsinae"
"c34deda85c5a190a2386f2a3c4a1ec75"	"Eukaryota_Metazoa_Platyhelminthes_Trematoda_Digenea_Azygiida_Hemiuroidea_Hemiuridae"	"167_Physalia"	5	"RUN1"	"134"	"SILVA"	"Eukaryota(89.01);Metazoa(89.01);Platyhelminthes(89.01);Trematoda(89.01);Digenea(89.01);Azygiida(89.01);Hemiuroidea(89.01);Hemiuridae(89.01);Lecithochirium(18.26);Lecithochirium caesionis(18.26);"	"Eukaryota	Metazoa	Platyhelminthes	Trematoda	Digenea	Azygiida	Hemiuroidea	Hemiuridae"
