Predator	Pred_suborder	Prey	Prey_broad	source	Num_interactions
Agalma elegans	Physonectae		Amphipod	Biggs1977	1
Agalma okeni	Physonectae		Amphipod	Biggs1977b_Feeding	1
Agalma okeni	Physonectae		Amphipod	Biggs1977	1
Archangelopsis jagoa	Physonectae		Amphipod	Hissman2005_newrho	1
Athorybia rosacea	Physonectae		Amphipod	Biggs1977b_Feeding	1
Athorybia rosacea	Physonectae		Amphipod	Biggs1977	1
Diphyes dispar	Calycophorae		Amphipod	Purcell1981b_feeding	1
Diphyes dispar	Calycophorae		Amphipod	Purcell1981b_feeding	1
Forskalia tholoides	Physonectae		Amphipod	Biggs1977b_Feeding	1
Rosacea cymbiformis	Calycophorae		Amphipod	Purcell1981b_feeding	1
Sulculeolaria quadrivalvis	Calycophorae		Amphipod	Purcell1981b_feeding	1
Sulculeolaria quadrivalvis	Calycophorae		Amphipod	Purcell1981b_feeding	1
Physonectae	Physonectae	Bathochordaeus sp. a	Appendicularia	Choy_2017	1
Siphonophorae	Siphonophorae	Oikopleura	Appendicularia	Choy_2017	1
Bargmannia	Physonectae	Cephalopoda	Cephalopod	Choy_2017	2
Physonectae	Physonectae	Galiteuthis	Cephalopod	Choy_2017	1
Physalia physalis	Cystonectae		Cephalopod	Bardi2007_Physalia	1
Physalia physalis	Cystonectae		Cephalopod	Mackie1987_Siphbio	1
Nanomia bijuga	Physonectae	Chaetognatha	Chaetognath	Choy_2017	1
Apolemia uvaria	Physonectae		Chaetognath	Purcell1981b_feeding	1
Apolemia uvaria	Physonectae		Chaetognath	Purcell1981b_feeding	1
Apolemia uvaria	Physonectae		Chaetognath	Purcell1981b_feeding	1
Athorybia rosacea	Physonectae		Chaetognath	Purcell1981b_feeding	1
Athorybia rosacea	Physonectae		Chaetognath	Purcell1981b_feeding	1
Nanomia bijuga	Physonectae		Chaetognath	Purcell1981b_feeding	1
Nanomia bijuga	Physonectae		Chaetognath	Purcell1981b_feeding	1
Physalia physalis	Cystonectae		Chaetognath	Mackie1987_Siphbio	1
Rosacea cymbiformis	Calycophorae		Chaetognath	Purcell1981b_feeding	1
Rosacea cymbiformis	Calycophorae		Chaetognath	Purcell1981b_feeding	1
Rosacea cymbiformis	Calycophorae		Chaetognath	Purcell1981b_feeding	1
Sulculeolaria quadrivalvis	Calycophorae		Chaetognath	Purcell1981b_feeding	1
Sulculeolaria quadrivalvis	Calycophorae		Chaetognath	Purcell1981b_feeding	1
Sulculeolaria turgida	Calycophorae		Chaetognath	Purcell1981b_feeding	1
Sulculeolaria turgida	Calycophorae		Chaetognath	Purcell1981b_feeding	1
Apolemia uvaria	Physonectae		Cladoceran	Purcell1981b_feeding	1
Rosacea cymbiformis	Calycophorae		Cladoceran	Purcell1981b_feeding	1
Physonectae	Physonectae	Copepoda	Copepod	Choy_2017	1
Praya dubia	Calycophorae	Copepoda	Copepod	Choy_2017	1
Abyla elegans	Calycophorae		Copepod	Purcell1981b_feeding	1
Abyla trigona	Calycophorae		Copepod	Purcell1981b_feeding	1
Agalma elegans	Physonectae		Copepod	Purcell1981b_feeding	1
Agalma elegans	Physonectae		Copepod	Purcell1981b_feeding	1
Agalma okeni	Physonectae		Copepod	Purcell1981b_feeding	1
Agalma okeni	Physonectae		Copepod	Purcell1981b_feeding	1
Apolemia uvaria	Physonectae		Copepod	Purcell1981b_feeding	1
Apolemia uvaria	Physonectae		Copepod	Purcell1981b_feeding	1
Athorybia rosacea	Physonectae		Copepod	Biggs1977b_Feeding	1
Athorybia rosacea	Physonectae		Copepod	Purcell1981b_feeding	1
Athorybia rosacea	Physonectae		Copepod	Purcell1981b_feeding	1
Athorybia rosacea	Physonectae		Copepod	Purcell1981b_feeding	1
Bassia bassensis	Calycophorae		Copepod	Purcell1981b_feeding	1
Bassia bassensis	Calycophorae		Copepod	Purcell1981b_feeding	1
Chelophyes appendiculata	Calycophorae		Copepod	Purcell1981b_feeding	1
Chelophyes appendiculata	Calycophorae		Copepod	Purcell1981b_feeding	1
Chelophyes appendiculata	Calycophorae		Copepod	Purcell1981b_feeding	1
Cordagalma ordinatum	Physonectae		Copepod	Purcell1981b_feeding	1
Cordagalma ordinatum	Physonectae		Copepod	Purcell1981b_feeding	1
Diphyes dispar	Calycophorae		Copepod	Purcell1981b_feeding	1
Diphyes dispar	Calycophorae		Copepod	Purcell1981b_feeding	1
Diphyes dispar	Calycophorae		Copepod	Purcell1981b_feeding	1
Diphyes dispar	Calycophorae		Copepod	Purcell1981b_feeding	1
Forskalia tholoides	Physonectae		Copepod	Biggs1977b_Feeding	1
Marrus orthocanna	Physonectae		Copepod	Andersen1981_Morthocanna	1
Muggiaea atlantica	Calycophorae		Copepod	Purcell1981b_feeding	1
Muggiaea atlantica	Calycophorae		Copepod	Purcell1981b_feeding	1
Nanomia bijuga	Physonectae		Copepod	Purcell1981b_feeding	1
Nanomia bijuga	Physonectae		Copepod	Purcell1981b_feeding	1
Rosacea cymbiformis	Calycophorae		Copepod	Purcell1981b_feeding	1
