"Species","N_sampled","N","MorphGuild","PNAS_guilds"
"Agalma okenii",3,0,NA,"Mixed"
"Apolemia lanosa",3,1,"Gelatinous",NA
"Apolemia rubriversa",7,2,NA,"Gelatinous"
"Apolemia sp",1,5,NA,NA
"Apolemia undescribed sp",2,0,NA,NA
"Bargmannia amoena",3,2,NA,"Large crustacean"
"Bargmannia elongata",2,2,"Large.crustacean",NA
"Bargmannia lata",3,2,"Large.crustacean",NA
"Chuniphyes moserae",1,0,"Small.crustacean",NA
"Chuniphyes multidentata",5,1,"Small.crustacean",NA
"Cordagalma ordinatum",1,0,NA,"Small crustacean"
"Craseoa lathetica",2,0,"Large.crustacean",NA
"Desmophyes annectens",1,1,NA,NA
"Diphyes dispar",15,3,NA,"Small crustacean"
"Erenna cornuta",1,0,NA,NA
"Erenna sirena",2,0,NA,"Fish"
"Forskalia formosa",3,0,NA,NA
"Forskalia sp.",5,4,"Large.crustacean","Mixed"
"Frillagalma vityazi",3,0,"Mixed",NA
"Gymnopraia lapislazula",3,0,"Small.crustacean",NA
"Halistemma rubrum",1,1,"Large.crustacean",NA
"Kephyes ovata",2,0,"Small.crustacean",NA
"Lensia conoidea",1,1,"Small.crustacean",NA
"Lilyopsis fluoracantha",1,0,"Large.crustacean",NA
"Lychnagalma utricularia",4,3,NA,"Large crustacean"
"Marrus claudanielis",2,0,"Large.crustacean",NA
"Muggiaea atlantica",5,1,NA,NA
"Nanomia (deep)",3,0,NA,NA
"Nanomia sp. Atlantic",14,9,NA,"Large crustacean"
"Nanomia sp. shallow",12,2,NA,"Large crustacean"
"Physalia physalis",5,4,NA,"Fish"
"Praya dubia",2,0,NA,"Large crustacean"
"Resomia dunni",3,1,"Mixed",NA
"Resomia ornicephala",1,0,NA,"Large crustacean"
"Sphaeronectes christiansonae",1,1,NA,NA
"Sphaeronectes koellikeri",10,2,NA,"Small crustacean"
"Stephanomia amphytridis",3,0,NA,NA
"Sulculeolaria chuni",1,1,NA,NA
"Undescribed physonect L",2,1,"Fish",NA
"Undescribed physonect ZigZag",1,0,NA,NA
"Vogtia serrata",3,3,"Mixed",NA
