sample	Extraction#	Specimen	Species	Feature_name	OTU	abundance	run	barcode	database	Broad.group	Phylum	Class	L1	L2	L3	L4	L5	L6	L7	L8	L9	L10	R1	pR1	R2	pR2	R3	pR3	R4	pR4	R5	pR5	R6	pR6	R7	pR7	R8	pR8	R9	pR9	R10	pR10	R11	pR11	R12	pR12	R13	pR13	R14	pR14	R15	pR15	R16	pR16	R17	pR17	R18	pR18	R19	pR19	R20	pR20
108_Diphyes	108	26Mar19-BW3-39	Diphyes dispar	6e3663069f6093af44114840819c30ec	Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda	8	RUN1	152	GenBank	Copepod													Eukaryota	91.46	environmental samples	54.87	uncultured eukaryote	54.87																																		
108_Diphyes	108	26Mar19-BW3-39	Diphyes dispar	e3a13a59031b76714bf30cf7c5ef07c2	Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Poecilostomatoida_Corycaeidae_Corycaeus_Corycaeus speciosus	5	RUN1	179	GenBank	Copepod													Eukaryota	91.72	environmental samples	91.72	uncultured eukaryote	91.72																																		
108_Diphyes	108	26Mar19-BW3-39	Diphyes dispar	20b748980ce6434f17dc8c71edc80740	Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda	11	RUN1	272	GenBank	Copepod													Eukaryota	92.24	environmental samples	92.24	uncultured eukaryote	92.24																																		
108_Diphyes	108	26Mar19-BW3-39	Diphyes dispar	5b46df8ac614da2835b7b8d324705c72	Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda	10	RUN1	272	GenBank	Copepod													Eukaryota	92.24	environmental samples	92.24	uncultured eukaryote	92.24																																		
110_Vogtia	110	D1137-D8	Vogtia serrata	b89afbdbdfd73b86a2ef752526298ad8	Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Chelicerata_Arachnida_Acari_Acariformes_Sarcoptiformes_Astigmata	7	RUN1	134	SILVA	Contamination	Arthropoda	Chelicerata	Arachnida	Acari	Acariformes	Sarcoptiformes	Astigmata						Eukaryota	85.39	Metazoa	85.39	Ecdysozoa	85.39	Arthropoda	85.39	Chelicerata	85.39	Arachnida	85.39	Acari	85.39	Acariformes	85.39	Sarcoptiformes	85.39	Astigmata	85.39	Psoroptidia(0)	Analgoidea	51.23	Ptyssalgidae	17.07	Ptyssalges	17.07	Ptyssalges sp. A PBK-2011	17.07											
110_Vogtia	110	D1137-D8	Vogtia serrata	b89afbdbdfd73b86a2ef752526298ad8	Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Chelicerata_Arachnida_Acari_Acariformes_Sarcoptiformes_Astigmata	7	RUN1	134	GenBank	Contamination	Arthropoda	Chelicerata	Arachnida	Acari	Acariformes	Sarcoptiformes	Astigmata						Eukaryota	85.39	Metazoa	85.39	Ecdysozoa	85.39	Arthropoda	85.39	Chelicerata	85.39	Arachnida	85.39	Acari	85.39	Acariformes	85.39	Sarcoptiformes	85.39	Astigmata	85.39	Psoroptidia(0)	Analgoidea	51.23	Ptyssalgidae	17.07	Ptyssalges	17.07	Ptyssalges sp. A PBK-2011	17.07											
110_Vogtia	110	D1137-D8	Vogtia serrata	3719482f091c5cf57694b76be0956584	Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida	3	RUN1	134	GenBank	Copepod													Eukaryota	91.29	environmental samples	91.29	uncultured eukaryote	91.29																																		
110_Vogtia	110	D1137-D8	Vogtia serrata	ffa1d55e20d0996a8d435c2a9c6f127e	Eukaryota_Metazoa_Lophotrochozoa_Mollusca_Bivalvia	20	RUN1	152	SILVA	Bivalve	Mollusca	Bivalvia											Eukaryota	90.48	Metazoa	90.48	Lophotrochozoa	90.48	Mollusca	90.48	Bivalvia	90.48	Pteriomorphia	54.29	Arcoida	54.29	Arcoidea	54.29	Arcidae	36.19	Arca	18.09	Arca noae	18.09																		
110_Vogtia	110	D1137-D8	Vogtia serrata	6d3418aacea8b5c09800155de7d387a9	Eukaryota_Metazoa_Lophotrochozoa_Mollusca_Bivalvia	15	RUN1	152	SILVA	Bivalve	Mollusca	Bivalvia											Eukaryota	90.48	Metazoa	90.48	Lophotrochozoa	90.48	Mollusca	90.48	Bivalvia	90.48	Pteriomorphia	54.29	Arcoida	54.29	Arcoidea	54.29	Arcidae	36.19	Arca	18.09	Arca noae	18.09																		
110_Vogtia	110	D1137-D8	Vogtia serrata	ffa1d55e20d0996a8d435c2a9c6f127e	Eukaryota_Metazoa_Lophotrochozoa_Mollusca_Bivalvia	20	RUN1	152	GenBank	Bivalve	Mollusca	Bivalvia											Eukaryota	90.48	Metazoa	90.48	Lophotrochozoa	90.48	Mollusca	90.48	Bivalvia	90.48	Pteriomorphia	54.29	Arcoida	54.29	Arcoidea	54.29	Arcidae	36.19	Arca	18.09	Arca noae	18.09																		
