"Specimen"	"Species"	"Copepod"	"Decapod"	"Euphausid"	"Mysid"	"Lophogastrid"	"Stomatopod"	"Amphipod"	"Ostracod"	"Bivalve"	"Larvacean"	"Salp"	"Scyphomedusa"	"Ctenophore"	"Actinopteri"
"D1240-D1"	"Apolemia lanosa"	596	0	0	0	0	0	0	0	0	0	0	0	0	0
"D1242-D2"	"Apolemia rubriversa"	0	0	0	0	0	0	0	0	0	0	370	0	0	0
"D1245-D1"	"Apolemia rubriversa"	2456	0	0	0	0	0	0	0	0	0	0	0	0	0
"D1240-D10"	"Apolemia sp"	0	0	0	0	0	0	0	0	0	10	0	0	0	0
"D1242-SS4"	"Apolemia undescribed sp"	78	0	2660	0	0	0	0	0	0	0	0	0	120	0
"D1244-D2"	"Apolemia undescribed sp"	0	0	0	296	0	0	0	0	0	0	0	0	0	0
"D1165-SS12"	"Bargmannia amoena"	3186	0	0	0	0	0	0	0	0	0	0	0	0	0
"D861-D12"	"Bargmannia amoena"	0	0	0	2748346	0	0	0	0	0	0	0	0	0	0
"D1244-SS6"	"Bargmannia elongata"	0	0	74860	0	0	0	0	46	0	0	0	0	0	0
"D1164-SS7"	"Bargmannia lata"	0	0	0	0	0	0	0	0	0	0	0	0	32	0
"D1240-D9"	"Bargmannia lata"	198	0	0	0	0	0	0	0	0	0	0	0	0	0
"D1244-SS9"	"Chuniphyes multidentata"	1100	0	0	0	0	0	0	0	0	0	0	0	0	0
"D1244-SS12"	"Desmophyes annectens"	24	0	0	0	0	0	0	0	0	0	0	0	0	0
"D1243-BW25"	"Diphyes dispar"	0	0	530	0	0	0	0	0	0	0	0	0	0	0
"D1244-BW1"	"Diphyes dispar"	198	0	0	0	0	0	0	0	0	0	0	0	0	0
"D1244-BW24"	"Diphyes dispar"	0	0	0	0	0	0	0	0	0	0	132	0	0	0
"D1137-D9"	"Forskalia sp."	816	0	0	0	0	0	0	0	0	0	0	0	0	0
"D1245-D9"	"Forskalia sp."	7112	0	0	0	0	0	0	0	0	0	0	0	0	0
"M123-SS8"	"Forskalia sp."	24826	659318	0	0	0	0	0	0	0	0	0	0	0	0
"D1244-D8"	"Halistemma rubrum"	0	0	0	0	42	0	0	0	0	0	0	0	0	0
"D1242-SS12b"	"Lensia conoidea"	1364	0	0	0	0	0	0	0	0	0	0	0	0	0
"D1242-SS11"	"Lychnagalma utricularia"	0	241526	0	0	0	0	0	0	0	0	0	0	0	0
"D962-D4"	"Lychnagalma utricularia"	0	154994	783430	0	0	0	0	0	0	0	0	0	0	0
"D1138.2-BW65"	"Muggiaea atlantica"	0	0	0	0	0	0	0	0	0	6	0	0	0	0
"D1244-SS8"	"Nanomia (deep)"	0	0	114544	0	0	196	0	0	0	0	0	0	0	0
"Groton2_Dive1_36"	"Nanomia sp. Atlantic"	2774	0	0	0	0	0	0	0	0	0	0	0	0	0
"Groton2_Dive1_38"	"Nanomia sp. Atlantic"	165	0	0	0	0	0	0	0	0	0	0	0	0	0
"Groton2_Dive2_24"	"Nanomia sp. Atlantic"	2602	0	0	0	0	0	0	0	0	0	0	0	0	0
"Groton2_Dive2_26"	"Nanomia sp. Atlantic"	17408	0	0	0	0	0	0	0	0	0	0	0	0	0
"Groton2_Dive2_28"	"Nanomia sp. Atlantic"	41384	0	0	0	0	0	0	0	0	0	0	0	0	0
"Groton2_Dive2_30"	"Nanomia sp. Atlantic"	220719	0	0	0	0	0	0	0	0	0	0	0	0	0
"Groton2_Dive2_34"	"Nanomia sp. Atlantic"	29214	0	0	0	0	0	0	0	0	0	0	0	0	0
"Groton2_Dive2_36"	"Nanomia sp. Atlantic"	3126	0	0	0	0	0	0	0	0	0	0	0	0	0
"Groton2_Dive2_38"	"Nanomia sp. Atlantic"	165	0	0	0	0	0	0	0	0	0	0	0	0	0
"26Mar19-BW3-40.1"	"Nanomia sp. shallow"	0	0	0	0	0	0	8645	0	0	0	0	0	0	0
"KiloMoana2018-BW7-4"	"Nanomia sp. shallow"	65748	0	0	0	0	0	0	0	0	0	0	0	0	0
"BIOS19-D1-P1"	"Physalia physalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	858
"BIOS19-D1-P3"	"Physalia physalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	236
"BIOS19-D1-P5"	"Physalia physalis"	0	0	0	0	0	0	0	0	0	0	0	0	96	20268
"D1166-D8"	"Resomia dunni"	3574	0	0	0	0	0	0	0	0	0	0	0	0	0
"D1245-D6"	"Sphaeronectes christiansonae"	0	0	0	0	0	0	0	0	0	0	0	216	0	0
"26Mar19-BW3-35.2"	"Sphaeronectes koellikeri"	0	56	0	0	0	0	0	0	0	0	0	0	0	0
"D1138-BW60"	"Sphaeronectes koellikeri"	4658	0	0	0	0	0	0	0	0	0	0	0	0	0
"Groton1_Dive2_4"	"Sulculeolaria chuni"	2594	0	0	0	0	0	0	0	0	0	0	0	0	0
"D1019-D5"	"Undescribed physonect L"	0	0	0	0	0	0	0	0	0	0	0	0	3582	0
"D1137-D8"	"Vogtia serrata"	0	46	0	0	0	0	0	0	70	0	0	0	0	0
"D1243-SS10"	"Vogtia serrata"	0	0	0	0	0	0	0	236	0	0	0	0	0	0
