"Specimen"	"Species"	"Predator"	"Prey"	"Secondary"	"Parasite"	"Environmental"	"Contamination"
"D1243-BW5"	"Agalma okenii"	354860	0	0	0	0	0
"D1244-BW3"	"Agalma okenii"	421551	0	0	0	0	0
"D1244-BW4"	"Agalma okenii"	572129	0	0	0	0	0
"D1240-D1"	"Apolemia lanosa"	144696	596	0	0	42	0
"D858-D6"	"Apolemia lanosa"	5531681	0	0	14	138252	752
"D964-D1"	"Apolemia lanosa"	1108022	0	0	0	501	0
"D1137-SS2"	"Apolemia rubriversa"	244766	0	0	0	0	0
"D1240-D12"	"Apolemia rubriversa"	817608	0	0	0	0	0
"D1242-D2"	"Apolemia rubriversa"	643570	370	0	0	0	0
"D1243-D2"	"Apolemia rubriversa"	527284	0	0	0	0	0
"D1244-MS2"	"Apolemia rubriversa"	523394	0	0	0	0	0
"D1244-MS3"	"Apolemia rubriversa"	560468	0	0	0	58	0
"D1245-D1"	"Apolemia rubriversa"	546186	2456	0	0	240	74
"D1240-D10"	"Apolemia sp"	480354	10	0	34	109274	136
"D1242-SS4"	"Apolemia undescribed sp"	375626	2858	0	0	0	0
"D1244-D2"	"Apolemia undescribed sp"	540176	296	0	0	50	0
"D1163-D4"	"Bargmannia amoena"	460232	0	0	0	98591	33
"D1165-SS12"	"Bargmannia amoena"	201938	3186	0	0	4048	192
"D861-D12"	"Bargmannia amoena"	2170771	2748346	0	113932	163006	318
"D1168-SS7"	"Bargmannia elongata"	149174	0	0	0	44615	833
"D1244-SS6"	"Bargmannia elongata"	28390	74906	0	0	68	0
"D1164-SS7"	"Bargmannia lata"	158466	32	0	12	17337	1696
"D1240-D9"	"Bargmannia lata"	326748	198	0	54	18771	1215
"D1242-D6"	"Bargmannia lata"	381402	0	0	0	0	0
"D1240-MS1"	"Chuniphyes moserae"	575844	0	0	0	210	0
"D1137-MS5"	"Chuniphyes multidentata"	261758	0	0	0	0	0
"D1241-SS2"	"Chuniphyes multidentata"	237622	0	0	0	0	0
"D1242-SS12"	"Chuniphyes multidentata"	291374	0	0	0	0	0
"D1243-SS11"	"Chuniphyes multidentata"	240438	0	0	0	0	0
"D1244-SS9"	"Chuniphyes multidentata"	524096	1100	0	0	0	0
"D1243-SS9"	"Cordagalma ordinatum"	1190214	0	0	0	2084	76
"D1243-SS8"	"Craseoa lathetica"	215072	0	0	0	0	4
"D960-SS1"	"Craseoa lathetica"	2343067	0	0	0	13350	1177
"D1244-SS12"	"Desmophyes annectens"	111040	24	0	0	0	0
"26Mar19-BW3-1"	"Diphyes dispar"	342962	0	0	0	0	0
"26Mar19-BW3-38"	"Diphyes dispar"	343000	0	0	0	0	0
"26Mar19-BW3-39"	"Diphyes dispar"	274424	0	0	0	68	0
"26Mar19-BW4-30"	"Diphyes dispar"	323878	0	0	0	0	0
"D1243-BW19"	"Diphyes dispar"	439852	0	0	0	0	0
"D1243-BW25"	"Diphyes dispar"	496628	530	0	0	0	0
"D1243-BW28"	"Diphyes dispar"	480556	0	0	0	0	0
"D1243-BW29"	"Diphyes dispar"	537162	0	0	0	58	0
"D1243-BW30"	"Diphyes dispar"	679370	0	0	0	0	0
"D1243-BW31"	"Diphyes dispar"	415278	0	0	0	0	0
"D1243-BW32"	"Diphyes dispar"	446288	0	0	0	0	0
"D1243-BW33"	"Diphyes dispar"	493212	0	0	0	18	0
"D1243-BW37"	"Diphyes dispar"	638886	0	0	0	73	0
"D1244-BW1"	"Diphyes dispar"	455196	198	0	0	10	0
"D1244-BW24"	"Diphyes dispar"	660076	132	0	0	510	0
"D1240-D6"	"Erenna cornuta"	458464	0	0	0	84	0
"D1165-SS1"	"Erenna sirena"	101444	0	0	0	3175	5
"D860-D6"	"Erenna sirena"	2309897	0	0	6	270967	1586
"D1242-MS6"	"Forskalia formosa"	142258	0	0	0	0	0
"D1242-SS1"	"Forskalia formosa"	563612	0	0	0	12	0
"D963-SS6"	"Forskalia formosa"	556440	0	0	0	30	646
"D1137-D7"	"Forskalia sp."	329368	0	0	0	74	59
"D1137-D9"	"Forskalia sp."	292657	816	0	0	0	156
"D1243-D4"	"Forskalia sp."	288296	0	0	0	38	0
"D1245-D9"	"Forskalia sp."	519008	7112	0	30	2754	406
"M123-SS8"	"Forskalia sp."	217832	684144	0	0	23891	1246
"D1023-MS2"	"Frillagalma vityazi"	1217467	0	0	0	8839	1236
"D1240-SS5"	"Frillagalma vityazi"	174820	0	0	0	984	134
"D1242-D8"	"Frillagalma vityazi"	149946	0	0	0	0	0
"D1241-D10"	"Gymnopraia lapislazula"	432566	0	0	0	0	0
"D1243-SS7"	"Gymnopraia lapislazula"	409980	0	0	0	0	0
"D965-D10"	"Gymnopraia lapislazula"	808069	0	0	0	601	14
"D1244-D8"	"Halistemma rubrum"	465156	42	0	0	68	0
"D1241-MS6"	"Kephyes ovata"	279900	0	0	0	0	0
"D1241-SS8"	"Kephyes ovata"	385284	0	0	0	0	0
"D1242-SS12b"	"Lensia conoidea"	401880	1364	0	0	40	0
"D1241-D5"	"Lilyopsis fluoracantha"	455258	0	0	0	0	0
"D1169-SS8"	"Lychnagalma utricularia"	108964	0	0	0	0	0
"D1242-SS10"	"Lychnagalma utricularia"	117300	0	0	0	0	0
"D1242-SS11"	"Lychnagalma utricularia"	230420	241526	0	0	9146	0
"D962-D4"	"Lychnagalma utricularia"	20856	938424	0	0	17075	7986
"D1164-SS6"	"Marrus claudanielis"	343274	0	0	0	943	0
"D959-SS7"	"Marrus claudanielis"	870671	0	0	0	2619	220
"D1138.2-BW45"	"Muggiaea atlantica"	384628	0	0	0	0	0
"D1138.2-BW46"	"Muggiaea atlantica"	354472	0	0	0	70	0
"D1138.2-BW63"	"Muggiaea atlantica"	375864	0	0	0	62	0
"D1138.2-BW64"	"Muggiaea atlantica"	243271	0	0	0	0	0
"D1138.2-BW65"	"Muggiaea atlantica"	213032	6	0	0	136	0
"D1241-MS2"	"Nanomia (deep)"	312822	0	0	0	0	0
"D1244-SS10"	"Nanomia (deep)"	563364	0	0	0	309	19
