"Species"	"Copepod"	"Decapod"	"Euphausid"	"Mysid"	"Lophogastrid"	"Stomatopod"	"Amphipod"	"Ostracod"	"Bivalve"	"Larvacean"	"Salp"	"Scyphomedusa"	"Ctenophore"	"Actinopteri"
"Apolemia lanosa"	596	0	0	0	0	0	0	0	0	0	0	0	0	0
"Apolemia rubriversa"	2456	0	0	0	0	0	0	0	0	0	370	0	0	0
"Apolemia sp"	0	0	0	0	0	0	0	0	0	10	0	0	0	0
"Apolemia undescribed sp"	78	0	2660	296	0	0	0	0	0	0	0	0	120	0
"Bargmannia amoena"	3186	0	0	2748346	0	0	0	0	0	0	0	0	0	0
"Bargmannia elongata"	0	0	74860	0	0	0	0	46	0	0	0	0	0	0
"Bargmannia lata"	198	0	0	0	0	0	0	0	0	0	0	0	32	0
"Chuniphyes multidentata"	1100	0	0	0	0	0	0	0	0	0	0	0	0	0
"Desmophyes annectens"	24	0	0	0	0	0	0	0	0	0	0	0	0	0
"Diphyes dispar"	198	0	530	0	0	0	0	0	0	0	132	0	0	0
"Forskalia sp."	32754	659318	0	0	0	0	0	0	0	0	0	0	0	0
"Halistemma rubrum"	0	0	0	0	42	0	0	0	0	0	0	0	0	0
"Lensia conoidea"	1364	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lychnagalma utricularia"	0	396520	783430	0	0	0	0	0	0	0	0	0	0	0
"Muggiaea atlantica"	0	0	0	0	0	0	0	0	0	6	0	0	0	0
"Nanomia (deep)"	0	0	114544	0	0	196	0	0	0	0	0	0	0	0
"Nanomia sp. Atlantic"	317557	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nanomia sp. shallow"	65748	0	0	0	0	0	8645	0	0	0	0	0	0	0
"Physalia physalis"	0	0	0	0	0	0	0	0	0	0	0	0	96	21362
"Resomia dunni"	3574	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sphaeronectes christiansonae"	0	0	0	0	0	0	0	0	0	0	0	216	0	0
"Sphaeronectes koellikeri"	4658	56	0	0	0	0	0	0	0	0	0	0	0	0
"Sulculeolaria chuni"	2594	0	0	0	0	0	0	0	0	0	0	0	0	0
"Undescribed physonect L"	0	0	0	0	0	0	0	0	0	0	0	0	3582	0
"Vogtia serrata"	0	46	0	0	0	0	0	236	70	0	0	0	0	0
