"Feature_name"	"OTU"	"sample"	"abundance"	"run"	"barcode"	"database"	"Relative_IDs"	"IDs"
"d06a46a10d269fc798baa6da556eb77f"	"Eukaryota"	"24_Nano"	212363	"RUN0"	"134"	"SILVA138plus"	"Eukaryota(91.43);environmental samples(91.43);uncultured eukaryote(91.43);"	"Eukaryota;environmental samples;uncultured eukaryote;"
"5aa493c42de34fac5d6a9c07a945b41d"	"Eukaryota"	"24_Nano"	203752	"RUN0"	"134"	"SILVA138plus"	"Eukaryota(91.43);environmental samples(91.43);uncultured eukaryote(91.43);"	"Eukaryota;environmental samples;uncultured eukaryote;"
"84777292b376f24215680c71d8dc2660"	"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea"	"24_Nano"	2436	"RUN0"	"134"	"SILVA138plus"	"Eukaryota(90.67);Metazoa(54.67);Ecdysozoa(54.67);Arthropoda(54.67);Crustacea(54.67);Maxillopoda(54.67);Copepoda(54.67);Calanoida(54.67);Euchaetidae(18.28);Euchaeta(18.28);Euchaeta concinna(22.85);"	"Eukaryota;"
"7f3a6e74f831227cd291f244ba0fd557"	"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea"	"24_Nano"	2732	"RUN0"	"134"	"SILVA138plus"	"Eukaryota(90.67);Metazoa(54.67);Ecdysozoa(54.67);Arthropoda(54.67);Crustacea(54.67);Maxillopoda(54.67);Copepoda(54.67);Calanoida(54.67);Euchaetidae(18.28);Euchaeta(18.28);Euchaeta concinna(22.85);"	"Eukaryota;"
"f7ddef4c0b2224b1307f680dcf8c1324"	"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I_uncultured eukaryote_uncultured eukaryote"	"24_Nano"	2	"RUN0"	"134"	"SILVA138plus"	"Eukaryota(90.53);environmental samples(90.53);uncultured eukaryote(90.53);"	"Eukaryota;environmental samples;uncultured eukaryote;"
"52ebe510807b1dba3702185c34341103"	"Eukaryota"	"24_Nano"	2	"RUN0"	"134"	"SILVA138plus"	"Eukaryota(91.42);Fungi(91.42);environmental samples(91.42);uncultured fungus(91.42);"	"Eukaryota;Fungi;environmental samples;uncultured fungus;"
"404b7f94405d0fb32c7d0cea6b8ec967"	"Eukaryota"	"24_Nano"	66	"RUN0"	"134"	"SILVA138plus"	"Eukaryota(83.41);environmental samples(83.41);uncultured eukaryote(83.41);"	"Eukaryota;environmental samples;uncultured eukaryote;"
"600541f248a9a053ad1129eeb7e34b6a"	"Eukaryota_Bilateria_Deuterostomia_Chordata_Tunicata"	"24_Nano"	6	"RUN0"	"134"	"SILVA138plus"	"Eukaryota(89.94);environmental samples(71.72);uncultured eukaryote(71.72);"	"Eukaryota;environmental samples;uncultured eukaryote;"
"2fd7abd8624b413e5eb0464ae2a8a688"	"Eukaryota"	"24_Nano"	42	"RUN0"	"134"	"SILVA138plus"	"Eukaryota(83.41);environmental samples(83.41);uncultured eukaryote(83.41);"	"Eukaryota;environmental samples;uncultured eukaryote;"
"9982d4f49252440e316aa1785021b6f7"	"Eukaryota_Bilateria_Deuterostomia_Chordata_Tunicata"	"24_Nano"	4	"RUN0"	"134"	"SILVA138plus"	"Eukaryota(89.94);environmental samples(71.72);uncultured eukaryote(71.72);"	"Eukaryota;environmental samples;uncultured eukaryote;"
