"Feature_name"	"OTU"	"sample"	"abundance"	"run"	"barcode"	"database"	"Relative_IDs"	"IDs"
"757a308cc6e9262f01896ed7afe21af6"	"Eukaryota"	"110_Vogtia"	16	"RUN1"	"134"	"Custom"	"Eukaryota(91.36);Metazoa(73.09);Chordata(91.36);Craniata(73.09);Vertebrata(73.09);Euteleostomi(91.36);Mammalia(73.09);Eutheria(73.09);Laurasiatheria(54.82);Perissodactyla(18.27);Equidae(18.27);Equus(18.27);Equus przewalskii(18.27);"	"Eukaryota	Metazoa	Chordata	Craniata	Vertebrata	Euteleostomi	Mammalia	Eutheria"
"9b0df9ab5bd2d96f44dcf482881184fb"	"Eukaryota"	"110_Vogtia"	18	"RUN1"	"134"	"Custom"	"Eukaryota(91.36);Metazoa(73.09);Chordata(91.36);Craniata(73.09);Vertebrata(73.09);Euteleostomi(91.36);Mammalia(73.09);Eutheria(73.09);Laurasiatheria(54.82);Perissodactyla(18.27);Equidae(18.27);Equus(18.27);Equus przewalskii(18.27);"	"Eukaryota	Metazoa	Chordata	Craniata	Vertebrata	Euteleostomi	Mammalia	Eutheria"
"b89afbdbdfd73b86a2ef752526298ad8"	"Eukaryota"	"110_Vogtia"	7	"RUN1"	"134"	"Custom"	"Eukaryota(85.39);Metazoa(85.39);Ecdysozoa(85.39);Arthropoda(85.39);Chelicerata(85.39);Arachnida(85.39);Acari(85.39);Acariformes(85.39);Sarcoptiformes(85.39);Astigmata(85.39);Psoroptidia(0);Analgoidea(51.23);Ptyssalgidae(17.07);Ptyssalges(17.07);Ptyssalges sp. A PBK-2011(17.07);"	"Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Chelicerata	Arachnida	Acari	Acariformes	Sarcoptiformes	Astigmata"
"e2c74cb4b7e8b35b55cbbf8964b15750"	"Eukaryota_Arthropoda_Crustacea_Multicrustacea_Malacostraca"	"111_Forskalia"	32	"RUN1"	"134"	"Custom"	"Eukaryota(87.13);Metazoa(87.13);Ecdysozoa(87.13);Arthropoda(87.13);Hexapoda(87.13);Insecta(87.13);Pterygota(87.13);Neoptera(87.13);Endopterygota(52.29);Hymenoptera(34.87);Apocrita(0);Aculeata(17.45);Apoidea(17.45);Apidae(17.45);Bombus(17.45);Bombus(17.45);Bombus terrestris (17.45);"	"Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Hexapoda	Insecta	Pterygota	Neoptera"
"3ac6c2ba25e700211f19a7daeae5349d"	"Eukaryota_Arthropoda_Crustacea_Multicrustacea_Malacostraca"	"111_Forskalia"	23	"RUN1"	"134"	"Custom"	"Eukaryota(87.13);Metazoa(87.13);Ecdysozoa(87.13);Arthropoda(87.13);Hexapoda(87.13);Insecta(87.13);Pterygota(87.13);Neoptera(87.13);Endopterygota(52.29);Hymenoptera(34.87);Apocrita(0);Aculeata(17.45);Apoidea(17.45);Apidae(17.45);Bombus(17.45);Bombus(17.45);Bombus terrestris (17.45);"	"Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Hexapoda	Insecta	Pterygota	Neoptera"
"e2c74cb4b7e8b35b55cbbf8964b15750"	"Eukaryota_Arthropoda_Crustacea_Multicrustacea_Malacostraca"	"112_Forskalia"	86	"RUN1"	"134"	"Custom"	"Eukaryota(87.13);Metazoa(87.13);Ecdysozoa(87.13);Arthropoda(87.13);Hexapoda(87.13);Insecta(87.13);Pterygota(87.13);Neoptera(87.13);Endopterygota(52.29);Hymenoptera(34.87);Apocrita(0);Aculeata(17.45);Apoidea(17.45);Apidae(17.45);Bombus(17.45);Bombus(17.45);Bombus terrestris (17.45);"	"Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Hexapoda	Insecta	Pterygota	Neoptera"
"3ac6c2ba25e700211f19a7daeae5349d"	"Eukaryota_Arthropoda_Crustacea_Multicrustacea_Malacostraca"	"112_Forskalia"	70	"RUN1"	"134"	"Custom"	"Eukaryota(87.13);Metazoa(87.13);Ecdysozoa(87.13);Arthropoda(87.13);Hexapoda(87.13);Insecta(87.13);Pterygota(87.13);Neoptera(87.13);Endopterygota(52.29);Hymenoptera(34.87);Apocrita(0);Aculeata(17.45);Apoidea(17.45);Apidae(17.45);Bombus(17.45);Bombus(17.45);Bombus terrestris (17.45);"	"Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Hexapoda	Insecta	Pterygota	Neoptera"
"9f1a05c60ecc84829c9a9100c417fe4a"	"Eukaryota_Arthropoda_Crustacea_Multicrustacea_Malacostraca"	"124_Nanomia"	1423	"RUN1"	"134"	"Custom"	"Eukaryota(88.99);Metazoa(88.99);Ecdysozoa(71.61);Arthropoda(71.61);Crustacea(71.61);Malacostraca(71.61);Eumalacostraca(71.61);Peracarida(71.61);Mysidacea(71.61);Lophogastrida(71.61);Lophogastridae(67.13);Neognathophausia(17.90);Neognathophausia gigas(17.90);"	"Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Malacostraca	Eumalacostraca	Peracarida	Mysidacea	Lophogastrida"
"058fc3807674688815a4ce76a7a5aeab"	"Eukaryota_Arthropoda_Crustacea_Multicrustacea_Malacostraca"	"124_Nanomia"	1376	"RUN1"	"134"	"Custom"	"Eukaryota(88.99);Metazoa(88.99);Ecdysozoa(71.61);Arthropoda(71.61);Crustacea(71.61);Malacostraca(71.61);Eumalacostraca(71.61);Peracarida(71.61);Mysidacea(71.61);Lophogastrida(71.61);Lophogastridae(67.13);Neognathophausia(17.90);Neognathophausia gigas(17.90);"	"Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Malacostraca	Eumalacostraca	Peracarida	Mysidacea	Lophogastrida"
"c74647132444093771acc47da38f0bca"	"Eukaryota"	"159_Physalia"	14	"RUN1"	"134"	"Custom"	"Eukaryota(86.57);Metazoa(86.57);Lophotrochozoa(51.98);Rotifera(51.98);Bdelloidea(51.98);Philodinida(34.71);Philodinidae(34.71);Anomopus(17.45);Anomopus telphusae(17.45);"	"Eukaryota	Metazoa"
